Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000051951,Xkr4,0.006116615725452026,-4.217727297627775,0.0006216320898729986,0.11277890752482017,4.217727297627775,0.0006216320898729986
ENSMUSG00000025900,Rp1,0.004281631007816419,-3.8291620097101227,0.029264883450886136,0.056389453762410086,3.8291620097101227,0.029264883450886136
ENSMUSG00000025902,Sox17,0.03914634064289297,-0.8067941966816683,0.6361681140928567,0.056389453762410086,0.8067941966816683,0.6361681140928567
ENSMUSG00000025903,Lypla1,0.2091882578104593,0.21439113320895986,1,0.16916836128723026,-0.21439113320895986,1
ENSMUSG00000033813,Tcea1,0.43794968594236505,-0.06579872547930932,0.8718384153853823,0.4511156300992807,0.06579872547930932,0.8718384153853823
ENSMUSG00000002459,Rgs20,0.020796493466536888,-2.6998789927651563,0.007616701127985077,0.1268762709654227,2.6998789927651563,0.007616701127985077
ENSMUSG00000033793,Atp6v1h,0.1400705001128514,0.1683311346793026,1,0.11277890752482017,-0.1683311346793026,1
ENSMUSG00000025905,Oprk1,0.0036699694352712157,-4.021807087652518,0.016952392405181267,0.056389453762410086,4.021807087652518,0.016952392405181267
ENSMUSG00000033774,Npbwr1,0.008563262015632837,-2.922271414101604,0.08270596551748602,0.056389453762410086,2.922271414101604,0.08270596551748602
ENSMUSG00000025907,Rb1cc1,0.15597370099902666,1.907803584456083,0.12298519692987632,0.028194726881205043,-1.907803584456083,0.12298519692987632
ENSMUSG00000033740,St18,0.006728277297997229,-3.7296263361592086,0.007260949198536941,0.08458418064361513,3.7296263361592086,0.007260949198536941
ENSMUSG00000051285,Pcmtd1,0.1443521311206678,0.21158433263318654,0.999327116363548,0.11277890752482017,-0.21158433263318654,0.999327116363548
ENSMUSG00000025909,Sntg1,0.007339938870542431,-3.12872229156903,0.06219901798116403,0.056389453762410086,3.12872229156903,0.06219901798116403
ENSMUSG00000061024,Rrs1,0.14618711583830343,1.3996566807857578,0.27587936864763696,0.042292090321807564,-1.3996566807857578,0.27587936864763696
ENSMUSG00000025911,Adhfe1,0.018349847176356078,-2.138000105157042,0.11464982681792456,0.07048681720301261,2.138000105157042,0.11464982681792456
ENSMUSG00000067879,Vxn,0.012233231450904053,-3.574348110681297,0.0010281229233771283,0.14097363440602523,3.574348110681297,0.0010281229233771283
ENSMUSG00000025912,Mybl1,0.022019816611627295,-3.2977805491938104,0.00045900639580485507,0.21146045160903784,3.2977805491938104,0.00045900639580485507
ENSMUSG00000045210,Vcpip1,0.18961508748901282,-0.5483912395795201,0.46666945765605555,0.2678499053714479,0.5483912395795201,0.46666945765605555
ENSMUSG00000025915,Sgk3,0.2061299499477333,-0.35428199198416177,0.6433225063069882,0.2537525419308454,0.35428199198416177,0.6433225063069882
ENSMUSG00000046101,Mcmdc2,0.012233231450904053,-3.815356210185092,0.0002627614908584201,0.16916836128723026,3.815356210185092,0.0002627614908584201
ENSMUSG00000099032,Tcf24,0.012233231450904053,-3.114916492044,0.020842471129869485,0.09868154408421766,3.114916492044,0.020842471129869485
ENSMUSG00000025916,Ppp1r42,0.009786585160723242,-4.120210791713513,0.00006795302654291917,0.16916836128723026,4.120210791713513,0.00006795302654291917
ENSMUSG00000025917,Cops5,0.4000266684445625,0.2042609918273275,1,0.3383367225744605,-0.2042609918273275,1
ENSMUSG00000056763,Cspp1,0.2146932119633661,0.04530710820601813,1,0.1973630881684353,-0.04530710820601813,1
ENSMUSG00000067851,Arfgef1,0.32418063344895737,-0.7765939589059692,0.20543106334060066,0.5497971741834984,0.7765939589059692,0.20543106334060066
ENSMUSG00000042501,Cpa6,0.008563262015632837,-3.922271414101604,0.002013038437681692,0.1268762709654227,3.922271414101604,0.002013038437681692
ENSMUSG00000048960,Prex2,0.058107849391794246,1.0777285858983952,0.5762894667815839,0.014097363440602521,-1.0777285858983952,0.5762894667815839
ENSMUSG00000057715,A830018L16Rik,0.006728277297997229,-3.2441995089889666,0.03285560268592428,0.056389453762410086,3.2441995089889666,0.03285560268592428
ENSMUSG00000016918,Sulf1,0.1370121922501254,0.13662227495196477,1,0.11277890752482017,-0.13662227495196477,1
ENSMUSG00000025938,Slco5a1,0.020184831893991687,-1.004733574293577,0.6237877741109901,0.028194726881205043,1.004733574293577,0.6237877741109901
ENSMUSG00000042414,Prdm14,0.0006116615725452027,-5.829162009710123,0.0037428601048911437,0.056389453762410086,5.829162009710123,0.0037428601048911437
ENSMUSG00000005886,Ncoa2,0.08624428172887356,-0.6794148902054404,0.5414357462088618,0.1268762709654227,0.6794148902054404,0.5414357462088618
ENSMUSG00000025935,Tram1,0.8012766600342154,0.32565609934198103,0.9103674088676854,0.6343813548271134,-0.32565609934198103,0.9103674088676854
ENSMUSG00000025937,Lactb2,0.033641386489986144,0.3001210072348437,0.9042253043228148,0.014097363440602521,-0.3001210072348437,0.9042253043228148
ENSMUSG00000067813,Xkr9,0.003058307862726013,-3.507233914822761,0.10867842519586204,0.028194726881205043,3.507233914822761,0.10867842519586204
ENSMUSG00000025932,Eya1,0.01896150874890128,-1.507233914822761,0.3534608810166799,0.042292090321807564,1.507233914822761,0.3534608810166799
ENSMUSG00000025930,Msc,0.004281631007816419,-3.507233914822761,0.07802693457053055,0.042292090321807564,3.507233914822761,0.07802693457053055
ENSMUSG00000032769,Trpa1,0.007339938870542431,-3.3917566974028244,0.03147284744287047,0.07048681720301261,3.3917566974028244,0.03147284744287047
ENSMUSG00000092083,Kcnb2,0.007339938870542431,-3.614149118739272,0.009690020575664255,0.08458418064361513,3.614149118739272,0.009690020575664255
ENSMUSG00000025925,Terf1,0.05871951096433945,0.09267892736436689,1,0.042292090321807564,-0.09267892736436689,1
ENSMUSG00000032719,Sbspon,0.02813643233707932,1.0473549368548767,0.678982695146434,0,-1.0473549368548767,0.678982695146434
ENSMUSG00000067795,4930444P10Rik,0.005504954152906824,-2.1853058199353983,0.5524539668324188,0.014097363440602521,2.1853058199353983,0.5524539668324188
ENSMUSG00000025921,Rdh10,0.10887575991304606,-0.4828497561958014,0.6188555173106323,0.14097363440602523,0.4828497561958014,0.6188555173106323
ENSMUSG00000025920,Stau2,0.0464862795134354,-1.6998789927651559,0.11327496170492381,0.14097363440602523,1.6998789927651559,0.11327496170492381
ENSMUSG00000025939,Ube2w,0.12539062237176654,3.1792666123604576,0.024080115558880483,0,-3.1792666123604576,0.024080115558880483
ENSMUSG00000025940,Tmem70,0.0709527424152435,-1.3373089133804479,0.15126207775283707,0.16916836128723026,1.3373089133804479,0.15126207775283707
ENSMUSG00000025779,Ly96,0.1883917643439224,-1.1899671973052612,0.06257425352401952,0.4229209032180757,1.1899671973052612,0.06257425352401952
ENSMUSG00000042686,Jph1,0.13150723809721857,1.6626910866195517,0.18784462297488033,0.028194726881205043,-1.6626910866195517,0.18784462297488033
ENSMUSG00000025777,Gdap1,0.0024466462901808106,-4.185305819935399,0.03367009698118759,0.042292090321807564,4.185305819935399,0.03367009698118759
ENSMUSG00000067780,Pi15,0.020796493466536888,-2.5478758993201063,0.039919182421555205,0.11277890752482017,2.5478758993201063,0.039919182421555205
ENSMUSG00000025776,Crispld1,0.004893292580361621,-1.3373089133804488,1,0,1.3373089133804488,1
ENSMUSG00000025774,Crisp4,0.007339938870542431,-4.266225815318965,0.00037265081281453376,0.14097363440602523,4.266225815318965,0.00037265081281453376
ENSMUSG00000073735,Defb18,0.004281631007816419,-5.092196415543917,0.000027824288269761753,0.15507099784662776,5.092196415543917,0.000027824288269761753
ENSMUSG00000067773,Defb41,0.01162156987835885,-4.708867775992411,0.00000009680309458403182,0.3101419956932555,4.708867775992411,0.00000009680309458405383
ENSMUSG00000042596,Tfap2d,0.012233231450904053,-2.6998789927651563,0.028595921704206287,0.07048681720301261,2.6998789927651563,0.028595921704206287
ENSMUSG00000025927,Tfap2b,0.013456554595994458,-1.9836719587657479,0.23065274265402075,0.042292090321807564,1.9836719587657479,0.23065274265402075
ENSMUSG00000043760,Pkhd1,0.004893292580361621,-4.1446638354380525,0.004900558821401599,0.08458418064361513,4.1446638354380525,0.004900558821401599
ENSMUSG00000025929,Il17a,0.003058307862726013,-2.922271414101605,0.3895229486269061,0.014097363440602521,2.922271414101605,0.3895229486269061
ENSMUSG00000041872,Il17f,0.0036699694352712157,-4.021807087652518,0.032033420550348815,0.056389453762410086,4.021807087652518,0.032033420550348815
ENSMUSG00000041859,Mcm3,0.2599561683317111,0.9055476105157156,0.46707377030085967,0.1268762709654227,-0.9055476105157156,0.46707377030085967
ENSMUSG00000025931,Paqr8,0.01651486245872047,-2.021807087652518,0.1349118930644978,0.056389453762410086,2.021807087652518,0.1349118930644978
ENSMUSG00000041809,Efhc1,0.003058307862726013,-3.507233914822761,0.10864259225501906,0.028194726881205043,3.507233914822761,0.10864259225501906
ENSMUSG00000041779,Tram2,0.11009908305813647,-0.329316122626917,0.7698601554497092,0.1268762709654227,0.329316122626917,0.7698601554497092
ENSMUSG00000025933,Tmem14a,0.031194740199805334,-1.8067941966816679,0.08893261245208063,0.09868154408421766,1.8067941966816679,0.08893261245208063
ENSMUSG00000025934,Gsta3,0.01651486245872047,-1.6998789927651563,0.2952948332858975,0.042292090321807564,1.6998789927651563,0.2952948332858975
