"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nap1l5",2.94874685492651e-06,4.18952955938182,0.03,0.001,0.0510634492867625
"Mrap",1.96875231949484e-31,4.16716174635337,0.209,0.011,3.40928839166921e-27
"Klhdc7a",2.10082372594215e-36,4.11552897793805,0.239,0.012,3.63799644621402e-32
"Rgs7",1.29966493464656e-06,4.08999388583091,0.037,0.002,0.0225062976732745
"Rasd1",9.57338559466818e-61,3.93664310892411,0.485,0.043,1.65782318342869e-56
"Pck1",4.13634553446308e-45,3.91110310313105,0.381,0.036,7.16290956202971e-41
"6430550D23Rik",0.00010833362684435,3.86760146449446,0.022,0.001,1
"Slc22a3",2.02482749679464e-26,3.76068626057795,0.179,0.01,3.50639377619927e-22
"Kcnj14",1.80814196162636e-11,3.76068626057795,0.082,0.006,3.13115943494837e-07
"Rasgrf2",1.16907255007659e-23,3.66115058702704,0.179,0.013,2.02448293496763e-19
"Cfd",8.06424672039952e-83,3.66048873524191,1,0.478,1.39648560457158e-78
"Cxcl9",1.78950799131597e-33,3.63627591838801,0.328,0.04,3.09889098856186e-29
"Chrdl1",2.65308150765167e-15,3.63313621085744,0.112,0.008,4.5943412468004e-11
"Plin1",5.19105846789731e-89,3.62169123645188,0.851,0.136,8.98935594885776e-85
"Trarg1",2.77543898665992e-45,3.61044362499734,0.403,0.042,4.80622769319899e-41
"Lep",3.23264968808554e-18,3.60456705866067,0.149,0.013,5.59797946485774e-14
"Crtac1",1.06875655827113e-15,3.60456705866067,0.127,0.011,1.85076573195812e-11
"Ces1d",1.55911014158876e-09,3.60456705866067,0.067,0.005,2.69991103218925e-05
"Rprml",3.82917626394084e-05,3.60456705866067,0.03,0.002,0.663098453626636
"Phactr1",3.82917626394084e-05,3.60456705866067,0.03,0.002,0.663098453626636
"Adipoq",3.4605395976247e-65,3.5456733696071,0.612,0.077,5.9926164212067e-61
"Mup17",7.88500696826382e-34,3.53056647721689,0.336,0.042,1.36544665669425e-29
"Hpx",3.43034051085074e-18,3.48427282494296,0.149,0.013,5.94032066264022e-14
"Fabp4",6.59349003846825e-77,3.48074893320768,0.985,0.471,1.14179466996155e-72
"Hp",4.82322881131384e-78,3.4799498530107,1,0.756,8.35238533255217e-74
"Il1f10",0.00365122146093429,3.45256396521562,0.015,0.001,1
"Cidec",2.67121634855195e-64,3.42702887310848,0.612,0.079,4.62574535078741e-60
"Npr3",1.86826556649808e-48,3.41779854705494,0.433,0.045,3.23527548150472e-44
"Cd1d1",2.99482334388956e-11,3.41508925979695,0.104,0.012,5.18613558461355e-07
"Thrsp",8.15599722344377e-12,3.37010180502364,0.104,0.011,1.41237403918376e-07
"Aoc3",8.53555384361088e-47,3.35945456082414,0.455,0.056,1.4781018590981e-42
"Adrb3",3.71939132440737e-31,3.35663954521708,0.328,0.044,6.44086995647625e-27
"Trf",3.39818981951799e-83,3.35143796075861,0.948,0.253,5.8846453104593e-79
"Slc1a3",4.35528802827956e-45,3.33823128973662,0.448,0.057,7.54205227857171e-41
"Rbp4",2.73107766082303e-26,3.32328094827065,0.261,0.032,4.72940718524723e-22
"Retn",4.41055561092284e-55,3.32011366919197,0.522,0.062,7.63775915143507e-51
"Smoc1",9.59488871848228e-25,3.29502268822914,0.239,0.028,1.66154687937958e-20
"Lipe",7.37636841785798e-76,3.29433429740568,0.821,0.153,1.27736571892047e-71
"Cdo1",1.63309028667542e-41,3.2826389637733,0.418,0.053,2.82802244943582e-37
"Slc7a10",5.36926605326693e-14,3.2826389637733,0.149,0.02,9.29795802444234e-10
"Sctr",7.47737470873371e-07,3.2826389637733,0.052,0.005,0.0129485697831142
"Arxes1",7.47737470873371e-07,3.2826389637733,0.052,0.005,0.0129485697831142
"Gnal",1.69406521491446e-19,3.25462458760371,0.194,0.024,2.93361273266736e-15
"Ephx2",1.12278656212203e-31,3.22269642331702,0.313,0.038,1.94432948962672e-27
"Tshr",2.14691243854989e-25,3.20463645177203,0.269,0.036,3.71780826983684e-21
"Atp2b2",0.000239206781064556,3.18952955938182,0.03,0.003,1
"Camp",8.40202589316547e-21,3.18075934975409,0.224,0.031,1.45497882391946e-16
"Apol6",3.26178700276564e-17,3.17794158510661,0.179,0.024,5.64843655268926e-13
"Plagl1",1.35053836288142e-12,3.17245604602288,0.127,0.016,2.33872728300175e-08
"Slc36a2",3.29722608141299e-25,3.15000119519519,0.261,0.034,5.70980640518287e-21
"Glb1l2",1.78827324431923e-30,3.14590262698157,0.313,0.04,3.09675277718761e-26
"B3galt2",1.94191974864843e-44,3.1347055346373,0.418,0.046,3.36282242873449e-40
"Plin4",4.9826747521934e-57,3.09316116490959,0.627,0.101,8.62849786837331e-53
"Lrg1",6.92272704816199e-76,3.07675065018155,0.963,0.344,1.19880864293021e-71
"Fcor",2.30358432641935e-14,3.06923532566411,0.142,0.017,3.9891169780604e-10
"Mup10",3.26621758202301e-06,3.06024654243686,0.052,0.006,0.0565610898678925
"Paqr9",3.26621758202301e-06,3.06024654243686,0.052,0.006,0.0565610898678925
"Ntrk2",3.70263904727861e-35,3.04817371013628,0.373,0.05,6.41186003817237e-31
"Aqp7",3.0016445442311e-12,2.99884599777271,0.134,0.019,5.197947857245e-08
"Prkar2b",1.48131186650294e-39,2.99818557430461,0.478,0.081,2.56518775922314e-35
"Ghr",3.11129666215933e-69,2.9775191565725,0.806,0.171,5.38783242986132e-65
"Flacc1",1.46057561010955e-07,2.86760146449446,0.075,0.01,0.0025292787840267
"Angptl8",2.68056458714223e-06,2.86760146449446,0.06,0.008,0.046419336955542
"Adora1",1.15150182936148e-05,2.86760146449446,0.052,0.007,0.199405571790528
"Lrfn1",0.000215264150271729,2.86760146449446,0.037,0.005,1
"Ptprn",0.000944508464257246,2.86760146449446,0.03,0.004,1
"A530016L24Rik",0.000944508464257246,2.86760146449446,0.03,0.004,1
"Spata25",0.00422708739199282,2.86760146449446,0.022,0.003,1
"Spib",0.0119505939319964,2.86760146449446,0.022,0.004,1
"Vmn1r171",0.0196383383527575,2.86760146449446,0.015,0.002,1
"Ear6",0.0196383383527575,2.86760146449446,0.015,0.002,1
"Fgf10",1.05549400769785e-08,2.86760146449446,0.082,0.01,0.000182779897313037
"Fah",3.27248243909503e-15,2.81697539142449,0.179,0.028,5.66695783978087e-11
"Sncg",1.12166684536622e-34,2.81174822976094,0.403,0.061,1.94239047612069e-30
"Ptprb",4.00287638647261e-24,2.78513930430249,0.291,0.046,6.93178103845462e-20
"Sh2d5",5.57165770765414e-09,2.76806579094355,0.097,0.014,9.64843965234468e-05
"Epas1",1.42871422162184e-65,2.76421467525561,0.985,0.446,2.47410441758254e-61
"Acvr1c",1.02462964312618e-07,2.75212424707453,0.082,0.012,0.0017743511530016
"Sucnr1",4.83650235561831e-06,2.7420705824106,0.067,0.011,0.0837537112922423
"Acp5",4.43234642152776e-37,2.73470719399712,0.522,0.108,7.67549429815963e-33
"Alas2",3.40751095219422e-05,2.71559837104941,0.052,0.008,0.590078671591473
"Nid2",1.88909659814395e-37,2.70660958782216,0.552,0.124,3.27134857900587e-33
"Agt",3.41942822985511e-05,2.69767646305215,0.052,0.008,0.592142386564009
"Gjc1",3.41942822985511e-05,2.69767646305215,0.052,0.008,0.592142386564009
"Prps1",8.98430404010796e-09,2.69767646305215,0.104,0.017,0.00015558119306255
"Kif26a",6.29310200733013e-09,2.69072370241038,0.127,0.026,0.000108977647460936
"Gli2",0.000146597511663981,2.67495638655206,0.045,0.007,1
"Ankef1",0.000146597511663981,2.67495638655206,0.045,0.007,1
"Tmem176a",7.66763440726667e-30,2.66966208688255,0.396,0.071,1.32780425030637e-25
"Car4",5.63681860588281e-39,2.66668877056846,0.679,0.207,9.76127877980726e-35
"Igfals",2.86910844276031e-10,2.66596760332481,0.127,0.021,4.96843509032803e-06
"Adra1d",0.000631595612096374,2.64520904315801,0.037,0.006,1
"Prdm16",0.000631595612096374,2.64520904315801,0.037,0.006,1
"Lgi3",0.000631595612096374,2.64520904315801,0.037,0.006,1
"4430402I18Rik",0.000631595612096374,2.64520904315801,0.037,0.006,1
"Prex2",4.85596006974959e-08,2.63313621085744,0.104,0.019,0.000840906605278536
"Bmper",3.61704709686542e-13,2.62659336499067,0.157,0.025,6.26364045764185e-09
"Plcb1",1.07908407759246e-16,2.61044362499734,0.239,0.046,1.86864989716686e-12
"Klb",4.83385281577194e-05,2.60456705866067,0.06,0.011,0.837078292107228
"Lzts3",0.00274422038072428,2.60456705866067,0.03,0.005,1
"Lrrc51",0.00274422038072428,2.60456705866067,0.03,0.005,1
"Vnn1",0.00274422038072428,2.60456705866067,0.03,0.005,1
"Cp",1.31647062142035e-26,2.60049739435162,0.351,0.061,2.27973217511362e-22
"Cyp2e1",8.53804288015353e-08,2.58749354530173,0.127,0.03,0.00147853288555619
"Lhx6",3.31220862363791e-06,2.58749354530173,0.082,0.016,0.0573575167355377
"Lpl",2.24926787464721e-48,2.56594576463336,0.731,0.185,3.89505717852657e-44
"Cxcl14",1.07564737318764e-39,2.56448441578082,0.866,0.371,1.86269855614903e-35
"Chpt1",2.10717955380316e-47,2.5528688710113,0.716,0.187,3.64900283332094e-43
"Acss1",0.0120935746383939,2.5456733696071,0.022,0.004,1
"Ephb2",0.0120935746383939,2.5456733696071,0.022,0.004,1
"Syt3",0.0120935746383939,2.5456733696071,0.022,0.004,1
"Amy1",5.31836949813977e-12,2.53639555601909,0.172,0.034,9.20982045992864e-08
"Igfbp4",2.15995853136786e-43,2.53056647721689,0.679,0.17,3.74040018876973e-39
"Gm19426",2.93366077824261e-06,2.51967816107415,0.075,0.013,0.0508022036968272
"Ltc4s",3.76752932727052e-24,2.51396450987976,0.321,0.056,6.52423053603436e-20
"Fzd4",1.37486040502802e-19,2.51396450987976,0.254,0.043,2.38084576338702e-15
"Mcam",8.08125904404535e-25,2.50805907780732,0.336,0.06,1.39943162865733e-20
"Coq2",0.000369732564960831,2.50503138510975,0.045,0.008,1
"Siglech",0.000369732564960831,2.50503138510975,0.045,0.008,1
"Mfng",2.77195143010021e-16,2.50081913382284,0.224,0.041,4.80018829150453e-12
"Lgals12",4.16909170025551e-18,2.49145297860921,0.261,0.05,7.21961609733246e-14
"Zfp423",4.44165664672582e-11,2.48908984124073,0.172,0.037,7.69161681513511e-07
"Cela1",0.00077569440723526,2.48908984124073,0.052,0.012,1
"Slc1a5",2.0459827751798e-44,2.47704665041496,0.799,0.287,3.54302837177886e-40
"Dgat2",5.08976631026281e-48,2.46728547092238,0.851,0.325,8.81394831948211e-44
"Ffar2",1.64204124246049e-18,2.4623449860082,0.246,0.043,2.84352281956883e-14
"Cavin2",3.77922065803345e-19,2.46042608298859,0.276,0.053,6.54447641351653e-15
"Tspan12",2.47260416088089e-21,2.45879591892713,0.321,0.065,4.28180862539744e-17
"Retsat",2.51660980121337e-23,2.45848879917272,0.343,0.067,4.35801319276119e-19
"Fads3",5.3507807551004e-32,2.45570367274618,0.53,0.127,9.26594703360737e-28
"Kif7",0.00154411815464744,2.45256396521562,0.037,0.007,1
"Wdr78",0.0546096272164862,2.45256396521562,0.015,0.003,1
"Ap3b2",0.0546096272164862,2.45256396521562,0.015,0.003,1
"Timd4",0.0546096272164862,2.45256396521562,0.015,0.003,1
"Zfp57",0.0546096272164862,2.45256396521562,0.015,0.003,1
"Olfr1458",0.0546096272164862,2.45256396521562,0.015,0.003,1
"C4b",2.78642193769144e-54,2.4484827884038,0.881,0.294,4.82524686950027e-50
"Mmrn2",5.67520021013641e-08,2.43464205721835,0.119,0.026,0.000982774420389322
"Car5b",4.5529621000952e-06,2.43464205721835,0.104,0.027,0.0788436446873486
"Col4a2",3.86038292448115e-57,2.42902845075483,0.903,0.325,6.68502511032401e-53
"Itih5",4.72205919323624e-08,2.42399481301885,0.134,0.032,0.00081771899049272
"Col4a1",2.28657825776373e-61,2.40965537374633,0.97,0.403,3.95966756896946e-57
"Rbp7",0.00160751330493765,2.40816984585716,0.045,0.01,1
"Adamts9",4.16900538251089e-28,2.40263873988394,0.403,0.077,7.21946662089411e-24
"Fgfrl1",1.14451678520239e-26,2.40047545406716,0.403,0.083,1.98195971693497e-22
"Tshz2",8.08313731389064e-11,2.40047545406716,0.187,0.044,1.39975688864644e-06
"Aldh1l1",4.84834464000077e-10,2.38217463732422,0.149,0.031,8.39587841308933e-06
"Prr5",4.98205662620393e-10,2.38217463732422,0.142,0.028,8.62742745959735e-06
"Mup11",0.00277745419366952,2.38217463732422,0.03,0.005,1
"Sh2d2a",0.00642852304335601,2.38217463732422,0.03,0.006,1
"Serpina3k",0.00642852304335601,2.38217463732422,0.03,0.006,1
"Plaat3",6.82815859023566e-36,2.36803045500395,0.604,0.157,1.18243222307111e-31
"Lpgat1",1.08849312141801e-58,2.36670322856178,0.97,0.528,1.88494353835957e-54
"2200002D01Rik",2.69501696343449e-06,2.36064147577458,0.104,0.026,0.046669608755795
"Peg3",1.97734625643239e-11,2.3530282916647,0.142,0.024,3.42417051226397e-07
"Kcnh2",0.00082154809852272,2.3530282916647,0.045,0.009,1
"Slc9a7",0.00611110227973869,2.3530282916647,0.037,0.009,1
"Cd36",1.45169480025839e-37,2.33834839635959,0.679,0.192,2.51389988560746e-33
"Prkd1",8.79356067902161e-11,2.33326503684327,0.179,0.041,1.52278090278617e-06
"Tek",3.84860305538512e-09,2.32703308313176,0.142,0.031,6.66462591101042e-05
"Tbx2",9.13947559001302e-05,2.32011366919197,0.075,0.018,1
"Mmd",9.01411216174491e-32,2.30897311158677,0.56,0.147,1.56097380304937e-27
