"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"9130409I23Rik",6.91750161167306e-06,5.33904018246432,0.011,0,0.120751908133365
"Ccdc187",6.91750161167306e-06,5.33904018246432,0.011,0,0.120751908133365
"Epo",6.91750161167306e-06,5.33904018246432,0.011,0,0.120751908133365
"Trbv13-3",6.91750161167306e-06,5.33904018246432,0.011,0,0.120751908133365
"Rdh7",6.91750161167306e-06,5.33904018246432,0.011,0,0.120751908133365
"Wap",6.91750161167306e-06,5.33904018246432,0.011,0,0.120751908133365
"Nptx1",6.91750161167306e-06,5.33904018246432,0.011,0,0.120751908133365
"4930578I06Rik",6.91750161167306e-06,5.33904018246432,0.011,0,0.120751908133365
"Otud7a",5.34938625302605e-13,4.60207458829812,0.057,0.002,9.33788864328228e-09
"Tpx2",2.0859394999031e-41,4.23950450891341,0.25,0.015,3.64121599103086e-37
"Efcab11",5.85481395220496e-30,4.11664776112787,0.182,0.011,1.0220163234969e-25
"Ppfia4",1.82650574364671e-06,4.01711208757696,0.034,0.002,0.0318834842610969
"Bex2",1.35031036632559e-09,3.92400268318548,0.057,0.004,2.35710177545795e-05
"Cyp2w1",4.69540013512986e-58,3.90935590722108,0.42,0.034,8.19629047588269e-54
"Klrg2",1.59591024522907e-67,3.89362903414196,0.466,0.035,2.78582092407186e-63
"Capsl",1.01474211264558e-12,3.87960856382702,0.08,0.006,1.77133383183413e-08
"Areg",4.87425465829745e-10,3.87960856382702,0.068,0.006,8.50849893152404e-06
"Gm5414",0.228986052382629,3.85361335529408,0.011,0.003,1
"Mxd3",1.03832357688471e-29,3.85361335529408,0.205,0.015,1.81249763580995e-25
"Mgat5b",7.57767257827858e-16,3.85361335529408,0.102,0.007,1.32275852526431e-11
"Jakmip2",7.57767257827858e-16,3.85361335529408,0.102,0.007,1.32275852526431e-11
"Il22ra2",1.82714609274752e-32,3.82446700963456,0.216,0.015,3.18946621950007e-28
"Rnase1",9.38968210170887e-11,3.82446700963456,0.068,0.005,1.6390629076743e-06
"Cd207",1.70741738557437e-26,3.80852546576554,0.182,0.013,2.98046778825863e-22
