"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Irx4",8.24617718718118e-43,4.86051224156203,0.287,0.014,1.42799050350416e-38
"Igfl3",4.11980240529205e-07,4.2166560517873,0.046,0.003,0.00713426182524423
"Cpsf4l",1.09457621491351e-07,3.95362164595351,0.037,0.001,0.00189547763136573
"Sox9",6.27325115078748e-35,3.92026304900708,0.324,0.031,1.08633890178187e-30
"Kremen2",4.2622325266946e-07,3.80161855250846,0.046,0.003,0.00738090806647704
"Otud7a",0.0008605468005014,3.80161855250846,0.019,0.001,1
"Rundc3a",0.0008605468005014,3.80161855250846,0.019,0.001,1
"Shroom2",2.75774089719543e-15,3.80161855250846,0.12,0.009,4.77557991167332e-11
"Far2",1.71949694944381e-40,3.79362576175493,0.602,0.129,2.97765286735184e-36
"Sec14l4",1.48742606880977e-23,3.79251634540121,0.306,0.048,2.57577572335788e-19
"Tmem45b",3.11047278858385e-17,3.77304940031169,0.157,0.015,5.38640572799065e-13
"Krt15",3.64649474276645e-46,3.75894793626244,0.778,0.217,6.31463494604867e-42
"Cidea",6.98983488814851e-14,3.75722443315001,0.157,0.021,1.21042970758068e-09
"Foxc1",2.61638101719929e-36,3.75507596657143,0.343,0.034,4.53078700748401e-32
"Pcp4l1",7.00579092995126e-08,3.70208287895754,0.056,0.004,0.00121319281533966
"Ahrr",7.4633821275995e-13,3.6760876704246,0.093,0.006,1.2924338830364e-08
"Ahcy",0.000143088073706218,3.63169355106615,0.028,0.002,1
"Gm438",0.000143088073706218,3.63169355106615,0.028,0.002,1
"Adra2c",0.000143088073706218,3.63169355106615,0.028,0.002,1
"Carmil3",0.000143088073706218,3.63169355106615,0.028,0.002,1
"Hmcn1",5.34765569628776e-17,3.63169355106615,0.148,0.013,9.26053536926152e-13
"Fa2h",1.44907919161598e-35,3.62289660282899,0.667,0.183,2.50937043612139e-31
"Rarres1",1.7165382036516e-34,3.61962071876557,0.454,0.074,2.97252920726348e-30
"Awat1",7.68597405098267e-18,3.61875449535865,0.194,0.024,1.33098012640867e-13
"Igfbp2",3.55316472927037e-34,3.61093499089935,0.324,0.032,6.1530153616775e-30
"Gm5678",1.44992985211703e-14,3.59516767504103,0.102,0.006,2.51084352491106e-10
"Dgat2l6",5.05111649071844e-12,3.59516767504103,0.102,0.009,8.74701842697712e-08
"Lhx2",3.57359820327616e-16,3.54527879924867,0.222,0.037,6.18840000861333e-12
"Mc5r",3.42117669480535e-12,3.53858414667467,0.111,0.011,5.92445168239442e-08
"Gm42517",2.15641776131862e-05,3.53858414667467,0.037,0.003,0.373426863727546
"Scd3",3.88125291520253e-12,3.53031653069107,0.241,0.058,6.72116567325622e-08
"Ces4a",1.93746778840274e-26,3.51038725484401,0.315,0.043,3.35511296917702e-22
"Cers4",3.18241978677443e-28,3.44538999999758,0.556,0.153,5.51099634475728e-24
"Crabp1",2.09406538019295e-27,3.44406654789038,0.296,0.036,3.62629301888013e-23
"Hist1h3a",7.64951956303438e-13,3.43904847312375,0.111,0.01,1.32466730273066e-08
"Serpina3b",8.63304378609439e-15,3.42018944587244,0.194,0.031,1.49498419243797e-10
"Acoxl",1.35290109239956e-17,3.4093011297297,0.176,0.019,2.34281882170832e-13
"Bcl11a",2.04263964884457e-12,3.4093011297297,0.12,0.013,3.53723907990414e-08
"Coch",5.72086847469508e-13,3.37277525370459,0.176,0.029,9.90682793762948e-09
"Angptl1",1.34568415274985e-09,3.36865914523235,0.083,0.008,2.33032124731692e-05
"Lmntd2",4.1478211494425e-08,3.36865914523235,0.074,0.008,0.000718278188448957
"Pard6b",1.11893450892484e-06,3.36865914523235,0.065,0.008,0.0193765888910514
"Nkd2",2.2697510903161e-20,3.36104596112248,0.185,0.017,3.93052796310039e-16
