"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Drp2",3.40206142169652e-22,3.00789600054666,0.21,0.035,6.33463836719893e-18
"Kank4",8.12745216488391e-11,2.94735445861161,0.086,0.012,1.51333159310138e-06
"Mpz",8.67819086113649e-44,2.94529199215472,0.652,0.221,1.61587913834361e-39
"Sfrp5",2.01141632507211e-21,2.90081187267458,0.262,0.061,3.74525719728427e-17
"Mbp",6.40816922739357e-34,2.47437546570417,0.671,0.309,1.19320111014068e-29
"Kif1a",2.44231246214544e-07,2.46192763144137,0.071,0.014,0.00454758580451481
"Cldn19",5.25706595859708e-09,2.43278128578185,0.129,0.035,9.78865681490776e-05
"Cadm4",4.00276430752347e-17,2.40578455340383,0.295,0.094,7.4531471406087e-13
"Mal",1.08975198417543e-11,2.39964335318702,0.186,0.054,2.02911819453466e-07
"Plp1",5.17351522177726e-13,2.26338195205929,0.2,0.056,9.63308534294926e-09
"Ncmap",3.40651719066372e-11,2.25756913293518,0.162,0.043,6.34293500901585e-07
"Vat1l",1.11295964711209e-05,2.25547675397394,0.057,0.012,0.20723308629227
"Pllp",1.8713193465483e-07,2.23953521010492,0.09,0.022,0.00348439662327294
"Kcna1",1.68159587961448e-05,2.22746237780434,0.062,0.015,0.313113152784217
"Insc",6.18221869876399e-05,2.13999953655401,0.052,0.012,1
"Prx",8.54077720358913e-12,2.10904660822509,0.233,0.08,1.5902927153083e-07
"Kcna2",1.88290328822522e-06,2.08995885405441,0.076,0.018,0.0350596592267536
"Aatk",1.02311189869768e-15,2.08536427997716,0.31,0.107,1.90503435537507e-11
"Rasgef1c",3.35021248096062e-05,2.02135504005539,0.062,0.016,0.623809563954868
"Fmn2",0.000170827967999392,2.00249601280407,0.062,0.018,1
"Prdm16",0.00299152021252434,2.00249601280407,0.033,0.009,1
"Asphd2",0.00299152021252434,2.00249601280407,0.033,0.009,1
"Zfp607a",0.00299152021252434,2.00249601280407,0.033,0.009,1
"Itga11",0.00782799941101373,1.94735445861161,0.029,0.008,1
"Gatm",1.20103247934634e-20,1.93274258768546,0.429,0.157,2.23632247654288e-16
"A530016L24Rik",0.00209370548631019,1.93141291474259,0.038,0.01,1
"Hepacam",0.000318653091192394,1.92135925007867,0.048,0.012,1
"Sfrp2",3.74382357025082e-07,1.91649349490685,0.129,0.042,0.00697099948780702
"Ugt8a",0.000124577362364024,1.90250022282735,0.071,0.022,1
"Cygb",3.26137385843757e-16,1.89742923327993,0.267,0.079,6.07267812441075e-12
"Sbspon",2.2805314519546e-05,1.89633045558714,0.09,0.029,0.424634956353947
"Ildr2",2.72411196043003e-07,1.89488703871747,0.114,0.034,0.00507229647032072
"Tpsg1",0.00535304325154574,1.87696513072021,0.033,0.01,1
"Kif19a",0.00099693856589493,1.84895075455061,0.062,0.022,1
"Plekha4",4.61055020819616e-09,1.83779453343953,0.267,0.121,8.58484448766124e-05
"Vit",0.000980074907788415,1.83389640882833,0.048,0.014,1
"Styk1",0.0135565807640433,1.80985093486167,0.029,0.009,1
"Pmp22",1.00266111051795e-27,1.79143942224678,0.69,0.344,1.86695498778442e-23
"Ccdc92",0.00242323040810203,1.78385572632873,0.043,0.013,1
"Gstt4",0.00896687969463739,1.76148791330028,0.033,0.01,1
"Krt7",0.00365560397877082,1.72496203727516,0.038,0.011,1
"Gnmt",0.0338873921043643,1.72496203727516,0.024,0.008,1
"Msln",0.00389397404718592,1.69639288507839,0.043,0.014,1
"Mgp",2.92646698514448e-11,1.6951268077344,0.229,0.078,5.44908152633902e-07
"Sept3",1.84520597955607e-06,1.69325317754782,0.114,0.037,0.034357735339334
"Ankfn1",0.0219036485550587,1.68432005277782,0.029,0.01,1
"Ppp1r1b",0.0219036485550587,1.68432005277782,0.029,0.01,1
"Shc4",0.0142005412589861,1.65457270938376,0.033,0.011,1
"Scube1",0.0142005412589861,1.65457270938376,0.033,0.011,1
"Gldn",0.000722180425668844,1.63880539352545,0.057,0.018,1
"Mag",0.00543598330144706,1.63185263288368,0.062,0.026,1
"Atp6v0d2",0.000306879420110882,1.62542636372425,0.062,0.019,1
"Gpr37l1",0.00238743281411216,1.62542636372425,0.057,0.021,1
"Col28a1",2.30981791738999e-05,1.62062537746043,0.1,0.035,0.430088096218017
"Ccdc187",0.0831206808095384,1.61393072488642,0.019,0.007,1
"Spock1",0.0831206808095384,1.61393072488642,0.019,0.007,1
"Sult1a1",0.000655940818213861,1.59519416230483,0.071,0.026,1
"Apod",5.18577439190537e-38,1.5834211933752,0.862,0.457,9.6559119177278e-34
"Kcnd1",0.000277220474469424,1.58057212793999,0.081,0.029,1
"Mgat3",0.0155640839211097,1.58057212793999,0.062,0.029,1
"Col13a1",6.28050105565455e-05,1.5774048488613,0.105,0.04,1
"Tekt2",0.00073650524667669,1.56884283535788,0.062,0.021,1
"Aox3",0.0334009030265845,1.56884283535788,0.029,0.01,1
"Cnp",9.77736540499995e-17,1.56349861458104,0.533,0.266,1.82054543841099e-12
"Inca1",0.0138211652400512,1.54438979163334,0.038,0.014,1
"Abat",0.0138211652400512,1.54438979163334,0.038,0.014,1
"Reln",1.47453586459578e-05,1.52332817610551,0.129,0.05,0.274558577987735
"Nr4a2",0.00245605040791693,1.51851115980773,0.057,0.021,1
"Chrdl1",9.55374940497614e-06,1.50923334621972,0.129,0.049,0.177890813920656
"Ogn",9.45602760272597e-12,1.48464770794145,0.252,0.088,1.76071233962758e-07
"Foxc2",0.00381753324704193,1.46192763144137,0.052,0.019,1
"Fam107a",0.0241380342186034,1.46192763144137,0.043,0.018,1
"Cd5",0.0310300230924764,1.46192763144137,0.033,0.013,1
"Prnd",0.0764504731778727,1.46192763144137,0.024,0.01,1
"Msx1",0.0764504731778727,1.46192763144137,0.024,0.01,1
"Stx1a",0.0764504731778727,1.46192763144137,0.024,0.01,1
"Cnksr2",0.0764504731778727,1.46192763144137,0.024,0.01,1
"Ccdc113",0.197984102242697,1.46192763144137,0.014,0.006,1
"Scn2a",2.87948216594542e-06,1.46192763144137,0.129,0.046,0.0536159579299036
"Slc16a11",0.00903421204021415,1.46192763144137,0.043,0.016,1
"Klrk1",0.0128943070508392,1.46192763144137,0.043,0.016,1
"Bcas1",0.0199617785367035,1.46192763144137,0.038,0.015,1
"Il1f10",0.121909694360481,1.46192763144137,0.019,0.008,1
"Cabp1",0.121909694360481,1.46192763144137,0.019,0.008,1
"Rhpn1",0.14000574543819,1.46192763144137,0.024,0.011,1
"Ctnna3",0.000119836744055779,1.43884401832833,0.114,0.048,1
"Mc5r",0.000449091406908615,1.43090073582074,0.09,0.036,1
"Gdf10",0.00707513094730311,1.42798029951803,0.071,0.033,1
"Acoxl",7.15167452888493e-08,1.42239926725473,0.157,0.054,0.00133164179727837
"Clec3b",1.0940562639352e-24,1.4113015583714,0.633,0.29,2.03713276344734e-20
"Dhh",0.00761247294916767,1.4030339423878,0.052,0.021,1
"Fads2",3.42124180264593e-05,1.39779729402165,0.129,0.053,0.637035223652672
"Chn1",0.0321867588880926,1.39779729402165,0.043,0.019,1
"Susd1",0.000937555712983398,1.36239195789045,0.086,0.035,1
"Sema3b",0.000681334753439305,1.36239195789045,0.133,0.067,1
"Rflna",0.0675957365504677,1.36239195789045,0.029,0.012,1
"Siglecf",0.0675957365504677,1.36239195789045,0.029,0.012,1
"Gpm6a",0.0181160066509521,1.35501242752485,0.052,0.023,1
"S1pr3",3.60633786751401e-06,1.34775661152206,0.257,0.139,0.0671500110931108
"Siglecg",0.010451856754527,1.34645041402143,0.052,0.022,1
"Frmd3",0.10621085566865,1.34645041402143,0.024,0.01,1
"Icam5",0.10621085566865,1.34645041402143,0.024,0.01,1
"Cldn34c1",0.10621085566865,1.34645041402143,0.024,0.01,1
"Arxes2",0.10621085566865,1.34645041402143,0.024,0.01,1
"Tvp23a",0.000973253673083685,1.32442410769143,0.086,0.035,1
"Gpc3",6.61175209505929e-08,1.32442410769143,0.205,0.082,0.00123110824010004
"Nr2f2",0.000404587441563857,1.32442410769143,0.105,0.045,1
"Ctsj",0.168610504545023,1.32442410769143,0.019,0.009,1
"Plekhb1",8.7331993104256e-07,1.32286359370382,0.257,0.13,0.0162612171160125
"Gucy1a1",0.0120231431461386,1.3150862431121,0.057,0.025,1
"Lrrc17",0.00099039823540392,1.29200262999906,0.086,0.035,1
"Haus5",0.00261972283204831,1.29200262999905,0.071,0.029,1
"Sema4g",0.00799326726582444,1.29200262999905,0.062,0.027,1
"Aldh1a2",0.0356014515748598,1.29200262999905,0.048,0.022,1
"Thrsp",0.0586257299670575,1.29200262999905,0.033,0.015,1
"Pdzd3",0.0586257299670575,1.29200262999905,0.033,0.015,1
"Rgl3",0.0538135898760214,1.27750306030394,0.043,0.021,1
"Cd209f",1.78170065257406e-15,1.27479631459272,0.524,0.257,3.31752661509289e-11
"Efcc1",0.0679998236200609,1.26928255349897,0.029,0.012,1
