Feature,Normalized.Dispersion
ENSMUSG00000051951,-0.6968569194012597
ENSMUSG00000025900,0.8352058194513584
ENSMUSG00000025902,0.2233382957753492
ENSMUSG00000025903,0.5619749337437469
ENSMUSG00000033813,0.5962460407139122
ENSMUSG00000002459,0.3191972446852974
ENSMUSG00000033793,-0.6586171613575785
ENSMUSG00000025905,1.1687492447348653
ENSMUSG00000033774,-0.2650521304689742
ENSMUSG00000025907,-1.2348290275281486
ENSMUSG00000033740,-1.1358876931152664
ENSMUSG00000051285,0.8307203338516366
ENSMUSG00000025909,-1.125251638559707
ENSMUSG00000061024,-0.9737731954006402
ENSMUSG00000025911,0.538505360308201
ENSMUSG00000067879,1.3397884911625533
ENSMUSG00000025912,-1.5536235898293675
ENSMUSG00000045210,1.663548496389612
ENSMUSG00000025915,-0.6241518645761029
ENSMUSG00000046101,0.7525836475858096
ENSMUSG00000099032,0.09531539244492827
ENSMUSG00000025916,-1.207793677089552
ENSMUSG00000025917,-1.5955089089455232
ENSMUSG00000056763,1.866554303950136
ENSMUSG00000067851,-0.16370210711642996
ENSMUSG00000042501,0.7939010384643349
ENSMUSG00000048960,-1.4345792162187367
ENSMUSG00000057715,2.00553927695891
ENSMUSG00000016918,0.7993403133309471
ENSMUSG00000025938,-1.9009806125362856
ENSMUSG00000042414,NaN
ENSMUSG00000005886,-0.8071961807045221
ENSMUSG00000025935,-0.48802822412657254
ENSMUSG00000025937,-0.39491044246269397
ENSMUSG00000067813,1.1362536203486817
ENSMUSG00000025932,0.5054342365383658
ENSMUSG00000025930,0.6869621927383569
ENSMUSG00000032769,0.29351805861063346
ENSMUSG00000092083,0.7395137949178472
ENSMUSG00000025925,0.25778955747701093
ENSMUSG00000032719,-0.8392906889250408
ENSMUSG00000067795,2.2998667706944245
ENSMUSG00000025921,-0.7102221549928829
ENSMUSG00000025920,1.8088419491438927
ENSMUSG00000025939,-0.20471079586247728
ENSMUSG00000025940,1.2480530336118594
ENSMUSG00000025779,2.7289878410733324
ENSMUSG00000042686,0.8698072786808395
ENSMUSG00000025777,0.590871866904451
ENSMUSG00000067780,-2.6382940129400434
ENSMUSG00000025776,-1.0890949327676205
ENSMUSG00000025774,-0.18571949466050092
ENSMUSG00000073735,1.6978999364400855
ENSMUSG00000067773,5.836312630768491
ENSMUSG00000042596,-0.5055848484193746
ENSMUSG00000025927,-1.7368415251678415
ENSMUSG00000043760,1.917541890123895
ENSMUSG00000025929,-0.3817268922706012
ENSMUSG00000041872,-1.1706921433947606
ENSMUSG00000041859,-0.6377423689359843
ENSMUSG00000025931,-2.5949994451928773
ENSMUSG00000041809,0.07826239279180529
ENSMUSG00000041779,2.3831725821690837
ENSMUSG00000025933,0.1388037352556015
ENSMUSG00000025934,1.267553100295028
ENSMUSG00000041722,1.2635568925054728
ENSMUSG00000085079,0.14020532111889858
ENSMUSG00000028033,-1.1693316922796988
ENSMUSG00000041670,2.7891244936366584
ENSMUSG00000026158,3.560827704110213
ENSMUSG00000026156,0.16760510269221301
ENSMUSG00000026155,1.4061471832446786
ENSMUSG00000026154,4.8352080823096175
ENSMUSG00000026153,-0.8967354066674673
ENSMUSG00000026147,-0.8690150432601272
ENSMUSG00000026141,-1.1104713080739932
ENSMUSG00000073725,0.5697771612078685
ENSMUSG00000033569,1.3905785030760691
ENSMUSG00000073722,0.9798983112909896
ENSMUSG00000048411,0.8677881323002021
ENSMUSG00000048874,0.9776115307350873
ENSMUSG00000026064,-0.387517930608717
ENSMUSG00000117310,1.6233172138858467
ENSMUSG00000086727,0.0012340673223988506
ENSMUSG00000050217,0.0941434107221281
ENSMUSG00000026063,1.1332933671699856
ENSMUSG00000026058,5.862590930635324
ENSMUSG00000091318,2.079462165129316
ENSMUSG00000026134,-0.7667487247405642
ENSMUSG00000004768,2.7949270869704606
ENSMUSG00000042215,0.20233447256104342
ENSMUSG00000042197,-1.1302394920959802
ENSMUSG00000042182,0.42177339217029236
ENSMUSG00000026131,0.7578913189251545
ENSMUSG00000042111,-0.2544878748374212
ENSMUSG00000026127,-0.21355906311835773
ENSMUSG00000026126,0.5648216646471306
ENSMUSG00000026125,-0.9569409177594446
ENSMUSG00000026124,1.0000878391699275
ENSMUSG00000037529,0.5268844227093323
ENSMUSG00000045174,NaN
ENSMUSG00000037509,-1.243960241097815
ENSMUSG00000118272,0.35369863265024537
ENSMUSG00000037503,0.995109426403518
ENSMUSG00000026123,-0.8046956734987829
ENSMUSG00000045216,-0.25778683147797243
ENSMUSG00000037470,-1.1098706557537774
ENSMUSG00000047180,1.536720071685606
ENSMUSG00000037447,1.4829321716081363
ENSMUSG00000010453,5.1077081732356495
ENSMUSG00000037432,0.17460671584369847
ENSMUSG00000001143,0.844822301181559
ENSMUSG00000037408,-1.1776816157742342
ENSMUSG00000001138,0.19401376649188964
ENSMUSG00000067653,21.63011621863137
ENSMUSG00000079610,-0.9067613878065184
ENSMUSG00000026121,-1.2144016439166005
ENSMUSG00000046337,-2.6126759085892237
ENSMUSG00000061518,-1.4310550050554427
ENSMUSG00000037351,-0.6292114182069032
ENSMUSG00000102416,0.4036809793327894
ENSMUSG00000026117,-2.402198343705301
ENSMUSG00000026116,-0.10921489876126872
ENSMUSG00000050122,2.6785156701574877
ENSMUSG00000026114,1.5602562128889592
ENSMUSG00000026113,-2.0577263215358443
ENSMUSG00000026112,-0.17227042560470143
ENSMUSG00000026111,-0.8980037931716596
ENSMUSG00000026110,0.42902093654918133
ENSMUSG00000026090,-0.8603483163161219
ENSMUSG00000060771,11.41790415896023
ENSMUSG00000037216,-2.5118850242542927
ENSMUSG00000026088,2.159333515205127
ENSMUSG00000061584,-1.1624890941709871
ENSMUSG00000026085,1
ENSMUSG00000026082,0.36127001193961555
ENSMUSG00000037138,0.23722912388630546
