Feature
1,ENSMUSG00000036211
2,ENSMUSG00000006711
3,ENSMUSG00000097918
4,ENSMUSG00000071180
5,ENSMUSG00000060967
6,ENSMUSG00000027338
7,ENSMUSG00000114245
8,ENSMUSG00000052396
9,ENSMUSG00000030075
10,ENSMUSG00000093884
11,ENSMUSG00000022226
12,ENSMUSG00000045584
13,ENSMUSG00000038203
14,ENSMUSG00000079638
15,ENSMUSG00000069268
16,ENSMUSG00000062757
17,ENSMUSG00000015484
18,ENSMUSG00000061414
19,ENSMUSG00000021983
20,ENSMUSG00000038765
21,ENSMUSG00000068099
22,ENSMUSG00000029620
23,ENSMUSG00000048834
24,ENSMUSG00000030607
25,ENSMUSG00000025602
26,ENSMUSG00000042708
27,ENSMUSG00000029361
28,ENSMUSG00000048330
29,ENSMUSG00000070705
30,ENSMUSG00000023266
31,ENSMUSG00000029530
32,ENSMUSG00000021485
33,ENSMUSG00000058748
34,ENSMUSG00000048826
35,ENSMUSG00000044092
36,ENSMUSG00000016624
37,ENSMUSG00000048232
38,ENSMUSG00000025427
39,ENSMUSG00000001942
40,ENSMUSG00000020672
41,ENSMUSG00000024246
42,ENSMUSG00000074203
43,ENSMUSG00000057054
44,ENSMUSG00000000983
45,ENSMUSG00000047515
46,ENSMUSG00000029883
47,ENSMUSG00000030873
48,ENSMUSG00000098022
49,ENSMUSG00000035578
50,ENSMUSG00000032131
51,ENSMUSG00000036062
52,ENSMUSG00000043505
53,ENSMUSG00000075605
54,ENSMUSG00000071291
55,ENSMUSG00000032782
56,ENSMUSG00000016498
57,ENSMUSG00000029510
58,ENSMUSG00000042797
59,ENSMUSG00000025738
60,ENSMUSG00000046826
61,ENSMUSG00000041444
62,ENSMUSG00000020542
63,ENSMUSG00000031099
64,ENSMUSG00000026686
65,ENSMUSG00000021176
66,ENSMUSG00000021815
67,ENSMUSG00000022144
68,ENSMUSG00000047485
69,ENSMUSG00000036186
70,ENSMUSG00000020434
71,ENSMUSG00000018983
72,ENSMUSG00000007682
73,ENSMUSG00000036095
74,ENSMUSG00000037979
75,ENSMUSG00000000782
76,ENSMUSG00000033316
77,ENSMUSG00000019779
78,ENSMUSG00000070469
79,ENSMUSG00000055923
80,ENSMUSG00000034881
81,ENSMUSG00000091996
82,ENSMUSG00000034071
83,ENSMUSG00000047787
84,ENSMUSG00000030577
85,ENSMUSG00000023047
86,ENSMUSG00000028718
87,ENSMUSG00000030787
88,ENSMUSG00000031574
89,ENSMUSG00000036904
90,ENSMUSG00000023972
91,ENSMUSG00000037990
92,ENSMUSG00000116275
93,ENSMUSG00000079654
94,ENSMUSG00000060621
95,ENSMUSG00000006310
96,ENSMUSG00000038544
97,ENSMUSG00000001520
98,ENSMUSG00000039661
99,ENSMUSG00000057967
100,ENSMUSG00000025766
101,ENSMUSG00000090141
102,ENSMUSG00000113880
103,ENSMUSG00000052135
104,ENSMUSG00000036862
105,ENSMUSG00000090273
106,ENSMUSG00000059991
107,ENSMUSG00000031255
108,ENSMUSG00000023882
109,ENSMUSG00000067780
110,ENSMUSG00000079508
111,ENSMUSG00000005836
112,ENSMUSG00000028545
113,ENSMUSG00000038015
114,ENSMUSG00000018554
115,ENSMUSG00000020159
116,ENSMUSG00000017344
117,ENSMUSG00000044792
118,ENSMUSG00000049092
119,ENSMUSG00000045349
120,ENSMUSG00000029299
121,ENSMUSG00000035407
122,ENSMUSG00000050395
123,ENSMUSG00000040219
124,ENSMUSG00000033882
125,ENSMUSG00000003872
126,ENSMUSG00000046337
127,ENSMUSG00000078552
128,ENSMUSG00000022306
129,ENSMUSG00000044005
130,ENSMUSG00000024039
131,ENSMUSG00000033644
132,ENSMUSG00000059897
133,ENSMUSG00000025995
134,ENSMUSG00000039452
135,ENSMUSG00000036596
136,ENSMUSG00000020435
137,ENSMUSG00000025931
138,ENSMUSG00000075266
139,ENSMUSG00000028078
140,ENSMUSG00000037005
141,ENSMUSG00000031906
