"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ascl5",1.23064220850814e-06,3.77095193840796,0.031,0.002,0.0236467900364839
"Olfr715",0.00061307399404516,3.77095193840795,0.016,0.001,1
"Cxcl10",3.6244613457921e-67,3.67568144177259,0.814,0.215,6.96440247593951e-63
"Olfr993",0.000153415552206551,3.44902384352059,0.023,0.002,1
"Zfp113",0.00324273557411853,3.35591443912911,0.016,0.002,1
"Wdr95",5.7065141028295e-06,3.1859894376868,0.039,0.005,0.109650668485869
"Dgkk",5.7065141028295e-06,3.1859894376868,0.039,0.005,0.109650668485869
"1700018G05Rik",0.000568830363365303,3.1859894376868,0.023,0.003,1
"Gm13723",1.86161969788243e-07,3.07051222026686,0.054,0.007,0.00357710224948109
"Gm8882",1.70398415315676e-05,3.03398634424175,0.039,0.005,0.327420555029072
"Kndc1",1.70398415315676e-05,3.03398634424175,0.039,0.005,0.327420555029072
"Cib3",5.13534278202352e-07,2.96359701635035,0.054,0.007,0.0098675611556582
"4933414I15Rik",0.000260922023160677,2.922955031853,0.031,0.005,1
"Hoxd1",4.39524607507798e-05,2.89648282049181,0.039,0.006,0.844546533326233
"Miox",7.48969672541592e-06,2.87786714232447,0.047,0.007,0.143914522578867
"Hs6st3",0.000349994907704561,2.84495251985173,0.047,0.01,1
"Spag16",1.58189825853e-08,2.84495251985173,0.07,0.01,0.000303961750376539
"Ifit1",1.16397305319753e-73,2.83908050944689,0.86,0.204,2.23657422171906e-69
"A3galt2",1.82951806654631e-07,2.83806613426649,0.07,0.011,0.00351541896486874
"Actrt2",0.000595457004120893,2.77095193840796,0.031,0.005,1
"Spdye4a",0.000595457004120893,2.77095193840796,0.031,0.005,1
"Kdm4d",0.000595457004120893,2.77095193840796,0.031,0.005,1
"Krtap4-8",0.000595457004120893,2.77095193840796,0.031,0.005,1
"Bmp15",0.000595457004120893,2.77095193840796,0.031,0.005,1
"Ankmy1",5.09197049575329e-07,2.77095193840795,0.062,0.01,0.00978422130758995
"Ttc36",6.19093668346919e-06,2.77095193840795,0.054,0.009,0.118958848372861
"Best2",0.00358782962324955,2.77095193840795,0.023,0.004,1
"Cyp2d10",0.00358782962324955,2.77095193840795,0.023,0.004,1
"Dkk1",0.00358782962324955,2.77095193840795,0.023,0.004,1
"Rsad2",3.50503064279395e-71,2.71675592264081,1,0.472,6.73491638012857e-67
"C330021F23Rik",1.09832130454746e-06,2.69294942640668,0.062,0.01,0.0211042438668795
"Apoa4",6.31034112978576e-06,2.68348909715762,0.054,0.009,0.121253204808833
"Obp1a",6.31034112978576e-06,2.68348909715762,0.054,0.009,0.121253204808833
"Olfr483",0.000208904372260172,2.65547472098802,0.039,0.007,1
"Gpr150",0.000208904372260172,2.65547472098802,0.039,0.007,1
"Ush1g",0.00120765951118764,2.63344841465802,0.031,0.006,1
"Aldoart2",0.00120765951118764,2.63344841465802,0.031,0.006,1
"ccdc198",1.94528543738886e-07,2.63344841465802,0.07,0.011,0.00373786596794269
"Ovol3",3.93924595531296e-07,2.63344841465802,0.07,0.012,0.00756926110313386
"Ifna4",2.23549222816507e-06,2.6189488449629,0.062,0.011,0.0429549831641919
"Csn1s2a",2.23549222816507e-06,2.6189488449629,0.062,0.011,0.0429549831641919
"Klra9",2.23549222816507e-06,2.6189488449629,0.062,0.011,0.0429549831641919
"Heatr9",2.23549222816507e-06,2.6189488449629,0.062,0.011,0.0429549831641919
"Tcp10a",1.04526374799361e-09,2.61341066142147,0.093,0.015,2.00847429176972e-05
"Cmpk2",1.35300320858275e-54,2.60712713650206,0.783,0.214,2.59979566529175e-50
"Gm29776",1.26411479693876e-05,2.60102693696564,0.054,0.01,0.242899658231782
"Spata9",0.000222850933390109,2.60102693696564,0.047,0.01,1
"Olfr573-ps1",0.0036107017269571,2.60102693696564,0.023,0.004,1
"Wfdc15b",0.00702452954378502,2.60102693696564,0.023,0.005,1
"Fam50b",0.00702452954378502,2.60102693696564,0.023,0.005,1
"Guca2b",2.52362612288393e-06,2.58652736727053,0.07,0.014,0.0484914759512148
"Sohlh1",7.12178517085161e-05,2.57830686046556,0.047,0.009,1
"Prm1",7.12178517085161e-05,2.57830686046556,0.047,0.009,1
"F2rl3",7.74350612806091e-07,2.5693180772383,0.07,0.012,0.014879147025069
"Mbd3l2",4.28476232767427e-06,2.5693180772383,0.062,0.011,0.082331708126261
"Fam81b",4.74499564913711e-08,2.54855951707151,0.085,0.015,0.000911750913981696
"Olfr1312",7.16585326808605e-05,2.54855951707151,0.054,0.011,1
"Olfr1113",0.000399519897540236,2.54855951707151,0.039,0.007,1
"Dcst2",0.0412036576644971,2.54855951707151,0.016,0.003,1
"Vmn1r56",0.0412036576644971,2.54855951707151,0.016,0.003,1
"Pate1",0.0412036576644971,2.54855951707151,0.016,0.003,1
"Gm6890",0.0412036576644971,2.54855951707151,0.016,0.003,1
"BC048671",2.39290103015123e-05,2.52302442496437,0.054,0.01,0.459795932943558
"Traj35",2.39290103015123e-05,2.52302442496437,0.054,0.01,0.459795932943558
"Tmem132d",0.000225185400591014,2.52302442496437,0.047,0.01,1
"Neurog3",0.00222827764909498,2.50791753257416,0.031,0.006,1
"Xlr",0.00222827764909498,2.50791753257416,0.031,0.006,1
"Igkv1-88",1.45769533466995e-06,2.50791753257416,0.07,0.013,0.0280096158556831
"Lhfpl5",0.000131379471189048,2.49084401921522,0.047,0.009,1
"Gm9507",7.96987286104377e-06,2.48144532121297,0.062,0.012,0.153141107024956
"Pkd1l3",1.64393759805185e-08,2.47139165654905,0.093,0.017,0.000315882609465663
"Vmn1r32",4.30817465481173e-05,2.44902384352059,0.054,0.011,0.827815759922074
"Hormad2",4.30817465481173e-05,2.44902384352059,0.054,0.011,0.827815759922074
"Prap1",0.00059333987068599,2.44902384352059,0.047,0.011,1
"Capn8",0.0123061586706987,2.44902384352059,0.023,0.005,1
"Ntsr1",0.0123061586706987,2.44902384352059,0.023,0.005,1
"Nt5c1a",0.0123061586706987,2.44902384352059,0.023,0.005,1
"Pcsk1n",0.0123061586706987,2.44902384352059,0.023,0.005,1
"Ccdc160",0.0123061586706987,2.44902384352059,0.023,0.005,1
"Rs1",0.0123061586706987,2.44902384352059,0.023,0.005,1
"Olfr1224-ps1",0.000713084185686101,2.44902384352059,0.039,0.008,1
"Gm11437",0.000713084185686101,2.44902384352059,0.039,0.008,1
"AY761185",2.68779219098393e-07,2.42302863498765,0.078,0.014,0.00516459269497563
"H2al1n",1.40999277855729e-05,2.41731498379325,0.062,0.012,0.270930112399783
"Defb22",0.00022957061808015,2.40838185902325,0.047,0.01,1
"Gm8439",0.00022957061808015,2.40838185902325,0.047,0.01,1
"Gm21915",0.00022957061808015,2.40838185902325,0.047,0.01,1
"Foxr1",0.00022957061808015,2.40838185902325,0.047,0.01,1
"B230359F08Rik",0.00022957061808015,2.40838185902325,0.047,0.01,1
"Ifit2",4.39654621406144e-40,2.40769698123166,0.566,0.131,8.44796355031905e-36
"Dspp",0.00380686153622442,2.39244031515423,0.031,0.007,1
"Olfr20",0.00380686153622442,2.39244031515423,0.031,0.007,1
"Krt39",0.00380686153622442,2.39244031515423,0.031,0.007,1
"Zscan10",0.00380686153622442,2.39244031515423,0.031,0.007,1
"Nxf7",0.00380686153622442,2.39244031515423,0.031,0.007,1
"Oprl1",4.36017461713021e-05,2.37863451562919,0.054,0.011,0.83780755268157
"Hcn4",4.36017461713021e-05,2.37863451562919,0.054,0.011,0.83780755268157
"Adra2b",0.000598935202785722,2.37863451562919,0.047,0.011,1
"Rag1",0.000913729985147813,2.37863451562919,0.047,0.011,1
"Fcnb",1.50185972609152e-06,2.37240256191768,0.078,0.016,0.0288582346368485
"BC051665",8.20152459806355e-06,2.35591443912911,0.062,0.012,0.157592295151791
"Igkv19-93",0.00120012186719524,2.35591443912911,0.039,0.009,1
"Hbq1b",0.00120012186719524,2.35591443912911,0.039,0.009,1
"Gas2l2",0.00120012186719524,2.35591443912911,0.039,0.009,1
"Smc1b",0.00120012186719524,2.35591443912911,0.039,0.009,1
"Krtap7-1",0.00120012186719524,2.35591443912911,0.039,0.009,1
"Bhlhe23",0.0665321504867537,2.35591443912911,0.016,0.004,1
"Cela3a",0.0665321504867537,2.35591443912911,0.016,0.004,1
"Poteg",0.0665321504867537,2.35591443912911,0.016,0.004,1
"Six6",0.0665321504867537,2.35591443912911,0.016,0.004,1
"Dmrtc1a",0.0665321504867537,2.35591443912911,0.016,0.004,1
"Ifi208",1.89392078990415e-09,2.34468718370586,0.116,0.023,3.63916879780083e-05
"1700003E16Rik",4.67365721080113e-06,2.33799253113185,0.07,0.014,0.0898043233055437
