"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Olfr329-ps",1.83101916875008e-08,3.4374053123073,0.036,0.003,0.000351830333275329
"Dbx1",5.5512520093446e-05,2.92283213947754,0.024,0.003,1
"4921511C20Rik",1.63047670826915e-05,2.89308479608349,0.028,0.004,0.313296099493918
"4930539E08Rik",0.0022434177221456,2.70043971814109,0.016,0.002,1
"Pnliprp2",3.63440213763097e-07,2.70043971814109,0.044,0.007,0.0069835037074579
"Myo15",1.48201028368514e-05,2.70043971814109,0.032,0.005,0.284768276010099
"Hsd3b5",0.000190722526410341,2.70043971814109,0.02,0.002,1
"Hes2",0.000629440170603316,2.70043971814109,0.02,0.003,1
"Mroh4",0.000629440170603316,2.70043971814109,0.02,0.003,1
"Kcne1l",0.00816963248870441,2.70043971814109,0.012,0.002,1
"Ripply2",2.06901848314095e-07,2.60733031374961,0.052,0.009,0.00397561901535534
"Ppm1n",2.87811086657642e-07,2.59352451422458,0.048,0.008,0.00553029003012659
"Calcoco2",3.99786918304733e-05,2.54843662469604,0.032,0.005,0.768190563522545
"Prr23a2",0.000138136631451086,2.53051471669878,0.028,0.005,1
"Olfr46",8.33123366261696e-06,2.4594316186373,0.04,0.007,0.160084654827185
"Sry",0.00594266846180829,2.4374053123073,0.016,0.003,1
"Fam217a",5.0043068774891e-07,2.42033179894836,0.052,0.01,0.00961577566509531
"Gpr83",9.61671223650582e-05,2.41093310094611,0.032,0.006,1
"Slc1a2",0.0213952180944187,2.37851162325373,0.012,0.002,1
"Olfr1130",0.000326916123111741,2.37851162325373,0.028,0.005,1
"Gm9925",0.000326916123111741,2.37851162325373,0.028,0.005,1
"Grin2b",0.00111225455551737,2.33786963875638,0.024,0.005,1
"Olfr1282",6.31163249096037e-05,2.32192809488736,0.036,0.007,1
"Actl7b",1.71247996707252e-06,2.31341659503185,0.048,0.009,0.0329053025672985
"Gm21876",0.000142422395484936,2.31341659503185,0.04,0.01,1
"Il23a",1.41172212125845e-06,2.30812229536233,0.056,0.012,0.0271262405599811
"Chd5",5.73783441692082e-06,2.28540221886225,0.044,0.009,0.110252488321134
"Tcp11x2",0.000210029630375705,2.28540221886225,0.032,0.007,1
"Nt5c1a",0.00378820556786468,2.28540221886225,0.02,0.004,1
"Mmp21",0.00378820556786468,2.28540221886225,0.02,0.004,1
"Olfr384",0.00378820556786468,2.28540221886225,0.02,0.004,1
"Olfr63",0.00378820556786468,2.28540221886225,0.02,0.004,1
"Olfr1040",5.13920162874118e-07,2.24792751344359,0.063,0.015,0.00987497592962618
"Gabrb1",0.0042557922880289,2.24100809950379,0.024,0.006,1
"Ltb",5.80901918627758e-66,2.23248433428429,0.762,0.324,1.11620303664324e-61
"Olfr67",7.6123007398588e-06,2.23095443483987,0.048,0.01,0.146270358716387
"Dcdc2a",4.62685459088674e-05,2.23095443483987,0.044,0.01,0.889050109638887
"Spatc1l",0.000130343995663737,2.21501289097085,0.036,0.008,1
"Cela3b",0.0129144224010232,2.21501289097085,0.016,0.004,1
"Olfr978",0.0129144224010232,2.21501289097085,0.016,0.004,1
"Olfr447",8.78802196492695e-07,2.20294005867028,0.06,0.013,0.0168861842056071
"Il1rapl1",0.000145269984399064,2.19793937761191,0.04,0.01,1
"Mkrn3",0.00367486305588868,2.19793937761191,0.032,0.01,1
"Olfr427",4.67564234711918e-06,2.18586654531133,0.052,0.012,0.089842467699895
"Olfr309",0.00229524865935657,2.18586654531133,0.024,0.005,1
"Mrgprg",0.00229524865935657,2.18586654531133,0.024,0.005,1
"Olfr27",0.00229524865935657,2.18586654531133,0.024,0.005,1
"Pilra",5.49659338573043e-80,2.17038555852233,0.885,0.447,1.0561704190681e-75
"Ifna11",0.000422535046734614,2.16992500144231,0.032,0.007,1
"Arrdc5",0.000422535046734614,2.16992500144231,0.032,0.007,1
"Pgr15l",0.000422535046734614,2.16992500144231,0.032,0.007,1
"Olfr171",7.91201222872953e-05,2.15987133677839,0.04,0.009,1
"Tmem235",4.69235593870638e-05,2.1529519228386,0.044,0.01,0.90163619362243
"Olfr1289",1.17719481730876e-08,2.11547721741994,0.087,0.021,0.000226197984145879
"Ceacam5",2.99777716812615e-06,2.11547721741994,0.06,0.015,0.057602288285544
"Efcab10",4.73074391640486e-05,2.11547721741994,0.044,0.01,0.909012443537194
"Enthd1",4.73074391640486e-05,2.11547721741994,0.044,0.01,0.909012443537194
"Fancd2os",0.00025177934611361,2.11547721741994,0.036,0.009,1
"Olfr805",0.000258896782297879,2.11547721741994,0.04,0.01,1
"Actrt2",0.0075108912602077,2.11547721741994,0.02,0.005,1
"Olfr667",0.0075108912602077,2.11547721741994,0.02,0.005,1
"Trpm5",0.0075108912602077,2.11547721741994,0.02,0.005,1
"Klkb1",0.0075108912602077,2.11547721741994,0.02,0.005,1
"Esm1",0.0075108912602077,2.11547721741994,0.02,0.005,1
"Kng1",0.0075108912602077,2.11547721741994,0.02,0.005,1
"Pate1",0.0440129997836634,2.11547721741994,0.012,0.003,1
"Chrna3",0.0440129997836634,2.11547721741994,0.012,0.003,1
"Trpc4",2.75519249238283e-05,2.0837683576926,0.048,0.012,0.529410237411362
"Sct",2.79812450281654e-05,2.07895134139482,0.048,0.012,0.537659623216197
"Olfr412",2.79812450281654e-05,2.07895134139482,0.048,0.012,0.537659623216197
"Gm16223",8.01270200226062e-05,2.07240849552805,0.04,0.009,1
"St6galnac1",0.000148242880416865,2.07240849552805,0.04,0.01,1
"Chst13",8.38142821454545e-15,2.06882712412111,0.19,0.056,1.61049143142491e-10
"Ecel1",0.000792235178891947,2.0630097975258,0.032,0.008,1
"Slc17a3",0.000792235178891947,2.0630097975258,0.032,0.008,1
"Sftpa1",0.000792235178891947,2.0630097975258,0.032,0.008,1
"Reg3a",1.64162793285298e-05,2.0483630215614,0.052,0.013,0.315438807297699
"Odam",0.0043088736130546,2.0483630215614,0.024,0.006,1
"Prss58",0.0043088736130546,2.0483630215614,0.024,0.006,1
"Fabp7",0.0043088736130546,2.0483630215614,0.024,0.006,1
"Hba-x",0.0043088736130546,2.0483630215614,0.024,0.006,1
"Gpr119",0.0043088736130546,2.0483630215614,0.024,0.006,1
"Olfr988",8.65614206196539e-05,2.03747470541866,0.044,0.011,1
"Ankdd1b",0.000261968893990361,2.03747470541866,0.04,0.01,1
"Tcp10c",0.000458719889598647,2.02236781302845,0.036,0.009,1
"Gm5475",0.00230046025910301,2.02236781302845,0.032,0.009,1
"Rprml",0.0242922612095009,2.02236781302845,0.016,0.004,1
"Olfr94",0.0242922612095009,2.02236781302845,0.016,0.004,1
"Rnase11",3.15960743322193e-06,2.01238372445583,0.063,0.016,0.0607118568293594
"Hilpda",8.30618304827152e-70,2.00915693930191,0.837,0.375,1.59603307272537e-65
"Olfr641",2.83795330177027e-05,2.00856201350342,0.048,0.012,0.545312726935158
"Apoc4",0.0024574828064129,2,0.028,0.007,1
"Krt40",0.0024574828064129,2,0.028,0.007,1
"Mat1a",0.0024574828064129,2,0.028,0.007,1
"Tspo2",0.0024574828064129,2,0.028,0.007,1
