Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000051951,Xkr4,0.007602291843349248,-3.9299146886240286,0.21362045488158773,0.08959815310781688,3.9299146886240286,0.21362045488158773
ENSMUSG00000025900,Rp1,0.010136389124465664,-2.966440564649142,0.42171579144538357,0.04479907655390844,2.966440564649142,0.42171579144538357
ENSMUSG00000025902,Sox17,0.11403437765023872,0.42058255846010484,1,0.04479907655390844,-0.42058255846010484,1
ENSMUSG00000025903,Lypla1,0.3784251939800515,0.8217632570635502,1,0.17919630621563376,-0.8217632570635502,1
ENSMUSG00000033813,Tcea1,0.8539907837362322,0.0681857784604902,0.8318827993438049,0.8063833779703519,-0.0681857784604902,0.8318827993438049
ENSMUSG00000002459,Rgs20,0.03463266284192435,-1.8595253607326305,0.5196049825121375,0.08959815310781688,1.8595253607326305,0.5196049825121375
ENSMUSG00000033793,Atp6v1h,0.3530842211688873,1.4589636501879606,1,0.08959815310781688,-1.4589636501879606,1
ENSMUSG00000025905,Oprk1,0.005068194562232832,-5.181453455619993,0.07332790697139369,0.17919630621563376,5.181453455619993,0.07332790697139369
ENSMUSG00000033774,Npbwr1,0.01604928278040397,-2.344952187902872,0.544589433875085,0.04479907655390844,2.344952187902872,0.544589433875085
ENSMUSG00000025907,Rb1cc1,0.3268985492640177,0.3480700586757368,0.959545052075378,0.2239953827695422,-0.3480700586757368,0.959545052075378
ENSMUSG00000033740,St18,0.0067575927496437765,-4.4969552813479226,0.10783032794612166,0.13439722966172532,4.4969552813479226,0.10783032794612166
ENSMUSG00000051285,Pcmtd1,0.2990234791717371,-0.36513006984050267,0.7357380100652358,0.3583926124312675,0.36513006984050267,0.7357380100652358
ENSMUSG00000025909,Sntg1,0.010136389124465664,-1.966440564649142,1,0,1.966440564649142,1
ENSMUSG00000061024,Rrs1,0.2449627371745869,0.196066965230687,0.9068622254593727,0.17919630621563376,-0.196066965230687,0.9068622254593727
