"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Slc13a4",4.96159885229377e-10,4.71433650786141,0.046,0.001,8.82271507914879e-06
"Lhx8",8.90496103678107e-28,4.34236773047445,0.179,0.01,1.58348017156041e-23
"Kcnj14",2.45614307291952e-34,4.09284813111514,0.225,0.013,4.36751361226549e-30
"Cbln1",2.04756541080756e-12,3.82981372528134,0.079,0.005,3.64098081349801e-08
"Slc22a3",4.10486611639052e-48,3.82622938793231,0.331,0.022,7.29927292816562e-44
"Igfals",2.96687156910552e-72,3.66948227207715,0.523,0.041,5.27569102418344e-68
"Peg10",8.4678747865606e-33,3.65020617044169,0.252,0.021,1.50575749454621e-28
"Serpina3k",7.87811840927383e-64,3.64462753605,0.483,0.041,1.40088701553707e-59
"Gnal",1.04030689490146e-31,3.44131801345499,0.265,0.026,1.84987372051377e-27
"Npr3",1.52109280269041e-95,3.42819674176482,0.861,0.134,2.70480722174409e-91
"Slc36a2",3.38773763865062e-73,3.42635574489738,0.662,0.089,6.02407506904854e-69
"Clstn2",2.33259431904933e-25,3.42482989066642,0.205,0.019,4.14781921813352e-21
"Trarg1",4.10735012765922e-94,3.39900252519584,0.854,0.134,7.30368999700362e-90
"Cxcl9",7.34530749576949e-100,3.31595024913273,0.96,0.208,1.30614257889773e-95
"Cd1d1",1.42961191535297e-43,3.31223806429006,0.437,0.062,2.54213590788065e-39
"Tnfsf11",9.69868423864287e-12,3.29929900858257,0.093,0.009,1.72462003131548e-07
"Rgs7",6.04997588207481e-14,3.29929900858257,0.113,0.011,1.07580671135054e-09
"Cfi",3.6848357565478e-05,3.29929900858257,0.033,0.003,0.65523749422933
"Lep",7.41007900601502e-53,3.25370214214245,0.49,0.062,1.31766024884959e-48
"Eci3",6.68901058325527e-09,3.24485122456019,0.073,0.008,0.000118943986191445
"Amy1",4.7295616369861e-67,3.20160233469543,0.649,0.095,8.41010650288868e-63
"Serpina3m",4.5992128184665e-58,3.15415710807014,0.583,0.087,8.17832023379714e-54
"Hp",2.31524804645274e-79,3.13172023475264,1,0.918,4.11697407620226e-75
"Sctr",5.38390726942357e-16,3.11026518419255,0.146,0.017,9.57366390648899e-12
"Rbp4",1.57058442306631e-57,3.10602351986287,0.583,0.089,2.79281322109652e-53
"Cfd",1.07841826916699e-78,3.09371370936385,1,0.859,1.91764336623275e-74
"Angptl8",1.64139522980631e-15,3.07690658724612,0.152,0.02,2.91872899764158e-11
"Hpx",6.60775865205002e-24,3.07188851247949,0.225,0.027,1.17499164350753e-19
"Flacc1",1.42463103118457e-21,3.07048031808668,0.199,0.023,2.5332788996524e-17
"Klhdc7a",1.38440806485218e-70,3.06861997606116,0.616,0.071,2.46175442092014e-66
"Adora1",8.79469769676241e-20,3.05313842131317,0.212,0.031,1.56387314443829e-15
"Fgf10",3.21353475228731e-23,3.05137149513898,0.245,0.035,5.71430749651729e-19
"Arxes1",2.36972795449942e-06,3.03626460274877,0.066,0.011,0.0421385024869087
"Cp",1.18912332013187e-83,3.01736064502389,0.921,0.225,2.1144990878585e-79
"Car4",1.25369424530682e-77,2.99157841029672,0.954,0.442,2.22931910700459e-73
"Smoc1",1.66898211373716e-67,2.98735500226783,0.642,0.087,2.96778399464742e-63
"Lgi3",4.18314964558323e-12,2.9773709136952,0.113,0.014,7.43847669977611e-08
"Trf",1.69239101798318e-81,2.96246757616119,0.993,0.582,3.00940970817769e-77
