"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm5678",9.78250775668676e-30,5.02585342728956,0.217,0.014,1.73952552929404e-25
"Ces5a",1.32509917600379e-10,4.5112802544598,0.057,0.002,2.35629135476994e-06
"Krt75",3.84053346380434e-32,4.37328002041373,0.406,0.064,6.82923660533688e-28
"Ces4a",1.29603744635353e-29,4.33469152273648,0.453,0.092,2.30461378710584e-25
"Mc5r",6.21121490197233e-26,4.20642567293138,0.236,0.022,1.10447823386872e-21
"Scd3",4.15396638921304e-19,4.1450520605497,0.377,0.098,7.38658303329863e-15
"Sec14l4",1.18998043825635e-41,4.14328251087646,0.557,0.1,2.11602321530744e-37
"Far2",1.68859910924214e-36,4.13250629916773,0.726,0.255,3.00266693605437e-32
"Ptgds",2.64053893351716e-09,4.09624275518096,0.057,0.003,4.69540633158022e-05
"Snap91",6.32083448538181e-26,4.05940598700059,0.208,0.015,1.12397078819059e-21
"Lhx2",2.10727499116147e-34,4.01402799189277,0.349,0.04,3.74715638928333e-30
"Awat1",2.61249239699517e-28,3.92447640691448,0.34,0.049,4.6455339803368e-24
"Fa2h",7.81089790729436e-27,3.91509379442363,0.783,0.458,1.38893386587508e-22
"Krt15",7.48204602589237e-46,3.90964672191137,0.925,0.506,1.33045742432418e-41
"Gm13178",2.019124187985e-27,3.89460889401131,0.302,0.039,3.59040663107493e-23
"Serpina3b",8.24533930665457e-24,3.89056772878944,0.434,0.106,1.46618623550932e-19
"Nptx2",2.30476948644672e-21,3.87385033384451,0.16,0.011,4.09834110079956e-17
"Cyp1a1",1.63575105738306e-18,3.84528118164774,0.217,0.03,2.90869253023856e-14
"Pnpla5",1.32913373748454e-12,3.81940254982213,0.094,0.007,2.36346561199502e-08
"Akr1c18",2.21934425957353e-32,3.80346100595311,0.5,0.106,3.94643796237366e-28
"Crabp1",2.37983285194656e-30,3.8010939914092,0.34,0.044,4.23181877733137e-26
"Igfbp2",2.29952046128713e-53,3.78192784440347,0.594,0.086,4.08900728426078e-49
