"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Otud7a",9.52060765549599e-10,4.16745674585156,0.043,0.002,1.66191727234338e-05
"Tpx2",1.05058605660778e-32,3.70511353179436,0.197,0.015,1.83390302041454e-28
"Trip13",6.26261699044924e-05,3.58249424513041,0.026,0.002,1
"Susd4",3.8455651571274e-10,3.37390762331899,0.068,0.007,6.71281853828159e-06
"Slc27a6",5.64990670255625e-30,3.30652078358911,0.256,0.031,9.86247713998219e-26
"Efcab11",7.89419695414015e-14,3.22635043490513,0.111,0.013,1.3780110203147e-09
"Rptn",3.59668848077477e-05,3.22635043490513,0.034,0.004,0.627837941204043
"Hs3st3a1",6.96069078961417e-07,3.12681476135422,0.051,0.006,0.0121505818423505
"Capsl",6.96069078961417e-07,3.12681476135422,0.051,0.006,0.0121505818423505
"Areg",3.34458970347432e-05,3.12681476135422,0.043,0.006,0.583831578638478
"Wnt11",0.000781447347271285,3.09706741796016,0.026,0.003,1
"Tox3",1.39796719339541e-05,3.02995322210163,0.043,0.006,0.244029153279102
"Rnase1",1.39796719339541e-05,3.02995322210163,0.043,0.006,0.244029153279102
"Cd5",1.39796719339541e-05,3.02995322210163,0.043,0.006,0.244029153279102
"Alox12e",4.41641222220853e-14,3.02757057079063,0.214,0.047,7.7092891750872e-10
"Sostdc1",4.18729208121154e-37,3.02383750696254,0.462,0.091,7.30933705696287e-33
"Slc39a2",5.02449055422705e-15,2.95022602963089,0.128,0.016,8.77075071145874e-11
"Mxd3",3.07526357408447e-12,2.90442234001777,0.12,0.018,5.36818009492186e-08
"Sp5",1.0702438274971e-18,2.90442234001777,0.179,0.025,1.86821762527893e-14
"Glt1d1",0.000253112234301139,2.90442234001777,0.034,0.005,1
"Oprl1",0.0146909035854941,2.90442234001777,0.017,0.003,1
"Depdc1b",1.81407411108954e-16,2.87467499662372,0.171,0.026,3.16664776831789e-12
"Mst1",1.97489490816298e-13,2.86002822065932,0.128,0.018,3.4473765516893e-09
"Kif26b",5.5517080824937e-10,2.8455286509642,0.094,0.014,9.691061628801e-06
"Nkpd1",4.00448937420085e-09,2.84029200259805,0.085,0.013,6.990236651605e-05
"Rbp1",7.79519164589079e-18,2.83932731179588,0.282,0.067,1.3607286537067e-13
"Lpar3",2.87999075342438e-08,2.83403301212637,0.077,0.011,0.000502731185917759
"Eme1",8.83137430830632e-14,2.81695949876743,0.128,0.018,1.54160469925795e-09
"Ly6g6g",1.48030215206377e-06,2.81695949876743,0.06,0.009,0.0258401543664252
"Kif4",6.46683823234702e-13,2.81131293562629,0.12,0.017,1.1288512818385e-08
"Sapcd2",1.47885174706688e-24,2.81009495746962,0.265,0.042,2.58148360967995e-20
"Mill1",1.99207500774772e-35,2.79750713610126,0.453,0.088,3.47736613352442e-31
"Aldh3a1",1.13706584647888e-19,2.78894512259783,0.197,0.029,1.98486214161353e-15
"Arhgef39",2.4816430238439e-10,2.78894512259783,0.094,0.013,4.33195606242191e-06
"Abhd12b",5.71763567207651e-29,2.77317780673952,0.41,0.087,9.98070482917676e-25
"Ccdc89",0.00054495595177176,2.76691881626783,0.034,0.006,1
"Hist1h2ab",0.00054495595177176,2.76691881626783,0.034,0.006,1
"Ccr6",0.00054495595177176,2.76691881626783,0.034,0.006,1
"Kcnmb1",4.47694204531206e-07,2.75241924657272,0.068,0.011,0.00781495003429674
"Gtse1",2.2404969254707e-16,2.74914411453986,0.171,0.026,3.91101143310165e-12
"Pif1",1.54270968125238e-17,2.74522374516851,0.205,0.035,2.69295401959416e-13
