PC,Proportion.Variance.Explained
1,0.016271652118559438
2,0.009735394679144669
3,0.006623756944818724
4,0.005097009249165654
5,0.003952775692885841
6,0.0036760332578862
7,0.0036032577714965085
8,0.0034664680397303114
9,0.003397443583929899
10,0.0033757561508668287
