Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000051951,Xkr4,0,-2.95684326706587,0.06371903511974839,0.009942044938079517,2.052052701053465,0.08333749695592656,0.006738412281269945,0.9909242772913327,0.6841104208063683
ENSMUSG00000025900,Rp1,0.0012877509805794,-1.1088463605109196,0.577284399672378,0.006628029958719678,2.15158837460438,0.10393831330146124,0,-0.37164580209337483,0.8471983949575077
ENSMUSG00000025902,Sox17,0.1326383509996782,2.006630856909016,0.000006133006771208833,0.011599052427759436,-3.1476196437828983,0.000000011874579287737532,0.07412253509396939,-0.05753721166531278,1
ENSMUSG00000025903,Lypla1,0.3515560176981762,0.7186567800688888,0.019561685254808076,0.144159651602153,-1.2769621398167763,0.00003108814067071493,0.3537666447666721,0.4453821263038087,0.321062926709227
ENSMUSG00000033813,Tcea1,0.5357044079210304,0.16879245823164535,0.657894319439335,0.35625661028118266,-0.7169484131020624,0.013068806272626715,0.7210101140958841,0.6577288000401378,0.06777721811754396
ENSMUSG00000002459,Rgs20,0.0115897588252146,-2.019579022413833,0.0004919146607799134,0.019884089876159035,-0.9293316207791866,0.11201576529437048,0.11455300878158906,2.88316809693545,0.000000021477165616577888
ENSMUSG00000033793,Atp6v1h,0.315498990241953,0.8427132844313268,0.005771521864362222,0.08947840444271565,-1.8401911185906508,0.000000009707977815829254,0.3503974386260371,0.6987435257980221,0.07509659507725891
ENSMUSG00000025905,Oprk1,0.0012877509805794,-1.1088463605109196,0.577284399672378,0.006628029958719678,2.15158837460438,0.10393831330146124,0,-0.37164580209337483,0.8471983949575077
ENSMUSG00000033774,Npbwr1,0.0012877509805794,-2.5942731876811616,0.015373823315261733,0.006628029958719678,-0.30784324403291663,0.8530975007257456,0.03032285526571475,2.950282292793987,0.001726704058399669
ENSMUSG00000025907,Rb1cc1,0.2021769039509658,0.8164227644124531,0.021800198391558934,0.0845073819736759,-1.1841455198080126,0.0008753557893510265,0.17519871931301856,0.2338780211100966,0.7534578491945161
ENSMUSG00000033740,St18,0.0012877509805794,-2.1088463605109196,0.12329018488224928,0.013256059917439356,2.4146227804381732,0.026948016973957233,0.0033692061406349724,-0.10861139625958138,1
ENSMUSG00000051285,Pcmtd1,0.2227809196402362,-0.016400111746325052,1,0.23363805604486865,0.09676434985985871,0.7874137849346633,0.20889078071936829,-0.10861139625958227,1
ENSMUSG00000025909,Sntg1,0.0012877509805794,-1.1088463605109196,0.6975908501301737,0.004971022469039759,1.244697778995861,0.3874242769104796,0.0033692061406349724,0.8913886037404186,0.8030234678547697
ENSMUSG00000061024,Rrs1,0.1751341333587984,0.01649306844534193,1,0.09942044938079517,-1.1037885273743755,0.0011869489259269052,0.32344378950095737,1.1911777213585315,0.0014187241097949473
ENSMUSG00000025911,Adhfe1,0.038632529417381996,1.4668383266222254,0.018625318093796875,0.014913067407119276,-0.9358744666459593,0.13097101210557693,0.010107618421904918,-1.1086113962595814,0.32664079258557177
ENSMUSG00000067879,Vxn,0.0051510039223176,-0.4649901707361961,0.9576802182439061,0.008285037448399597,0.6072678583805695,0.6383700337247122,0.006738412281269945,0.4763511044615747,0.7745016807681881
ENSMUSG00000025912,Mybl1,0.032193774514485,0.4540898338802375,0.6606923217595797,0.018227082386479115,-0.755302221004138,0.37538021109868464,0.03369206140634972,0.46329495163612755,0.7652807818366096
ENSMUSG00000045210,Vcpip1,0.2150544137567598,0.12158337989094603,0.8105768972206934,0.22866703357582888,0.2481616342994335,0.44741744927629784,0.13476824562539888,-0.6865191394467876,0.20820371113230612
ENSMUSG00000025915,Sgk3,0.1983136510092276,0.013472708684282075,1,0.20878294369966985,0.13184443930596546,0.7027287838652402,0.1718295131723836,-0.22066990345205362,0.8506791589883324
ENSMUSG00000046101,Mcmdc2,0.019316264708690998,-0.17923568840231852,0.9077450617883002,0.03314014979359839,1.2219777024957788,0.07674752082546897,0,-2.956608302814532,0.03758617190063482
ENSMUSG00000099032,Tcf24,0.0115897588252146,0.07557821062650749,1,0.011599052427759436,0.12922056157592543,1,0.010107618421904918,0.12585385737744126,1
ENSMUSG00000025916,Ppp1r42,0.0038632529417381998,-1.7869182656235587,0.14465609515346248,0.024855112345198792,2.829660279717017,0.002986031974657697,0,-2.034610814815805,0.42386423445594157
ENSMUSG00000025917,Cops5,0.8022688609009662,0.9515894933510538,0.0003781463745833921,0.21872498863774936,-1.8716136073058793,0.00000000005911192475000685,0.8119786798930283,0.5699375116813024,0.11890632408038851
ENSMUSG00000056763,Cspp1,0.218917666698498,0.008882429805963543,1,0.20215491374095018,-0.1644631539463126,0.6595622722381744,0.24932125440698796,0.24737853470141324,0.6992796319829622
ENSMUSG00000067851,Arfgef1,0.5382799098821892,0.11331653333464686,0.7914740926263426,0.40596683497158026,-0.5085959850743443,0.08344423165552614,0.6839488465488994,0.5107026092523512,0.18975531312894148
ENSMUSG00000042501,Cpa6,0.006438754902897,-0.6613873835396982,0.6513394810542608,0.016570074896799195,1.7041293976331593,0.06043418388377842,0,-1.7866833013722188,0.2585274577504443
ENSMUSG00000048960,Prex2,0.167407627475322,1.888952731295809,0.00000040600540825854504,0.03148314230391847,-2.096339138839205,0.0000009062018075303018,0.07075332895333442,-0.5560703732308032,0.48172865010846033
ENSMUSG00000057715,A830018L16Rik,0,-3.1088463605109196,0.02306839954662876,0.014913067407119276,4.15158837460438,0.00044306634533566847,0,-1.1086113962595814,0.6523146281168886
ENSMUSG00000016918,Sulf1,0.315498990241953,1.6798628087492844,0.00000004317613521568693,0.1110195018085546,-1.1435728107201966,0.0005934405458351748,0.07075332895333442,-1.6172705296675405,0.0013697375862473209
ENSMUSG00000025938,Slco5a1,0.096581323543455,2.2910842463777152,0.000005614240234046301,0.013256059917439356,-2.4098056549783715,0.00003863831488270191,0.03032285526571475,-0.8570726292636177,0.42468920981951686
ENSMUSG00000042414,Prdm14,0.0025755019611588,-0.20195576490240175,1,0.004971022469039759,1.244697778995861,0.45121851034933286,0,-0.37164580209337483,0.8471983949575077
ENSMUSG00000005886,Ncoa2,0.12233634315504299,-0.21318302032565573,0.6576434231142373,0.10936249431887468,-0.40803127800231254,0.2636406760928621,0.20889078071936829,0.8507466192430719,0.045905060940910285
ENSMUSG00000025935,Tram1,1.0533803021139492,0.2361653474894836,0.47676955154120665,0.7340543179282043,-0.5817171033300332,0.03495046194528824,1.2196526229098599,0.4156462416409823,0.28322369665529307
ENSMUSG00000025937,Lactb2,0.057948794126073,1.2130817343764422,0.017362630291252828,0.018227082386479115,-1.4182672337265672,0.006701893165980609,0.037061267546984696,-0.03461081481580486,1
ENSMUSG00000067813,Xkr9,0.0025755019611588,-0.5238838597897635,0.8401785999607064,0.004971022469039759,0.8296602797170172,0.7547301738010802,0.0033692061406349724,0.6283541979066252,1
ENSMUSG00000025932,Eya1,0.0527977902037554,2.1459675385179056,0.00009200503831504592,0.008285037448399597,-2.1399660712394635,0.0005685713114635252,0.01684603070317486,-0.7563096523287003,0.4957348454350994
ENSMUSG00000025930,Msc,0.0038632529417381998,-0.7869182656235587,0.5873717226401548,0.008285037448399597,0.8296602797170181,0.4685893151074691,0.006738412281269945,0.6283541979066243,0.9160568213439458
ENSMUSG00000032769,Trpa1,0.0025755019611588,-1.5238838597897635,0.1904231929180156,0.014913067407119276,2.5666258738832237,0.007780429377575794,0,-1.3716458020933748,0.4863457789415043
ENSMUSG00000092083,Kcnb2,0.0038632529417381998,-0.3718807663447139,0.8704130527747833,0.006628029958719678,0.8296602797170181,0.5694583472931622,0.0033692061406349724,0.21331669862778124,1
ENSMUSG00000025925,Terf1,0.070826303931867,-0.023957462924407036,1,0.04473920222135783,-0.9175736499030158,0.028516619330936376,0.12802983334412896,1.1236794861431036,0.02027442004228902
ENSMUSG00000032719,Sbspon,0.025755019611588,0.08183720109818982,0.9947679828223631,0.013256059917439356,-1.1296977357856361,0.09566203995377046,0.047168885968889615,1.2622262991087263,0.11328121442916363
ENSMUSG00000067795,4930444P10Rik,0.0012877509805794,-0.371880766344713,1,0.003314014979359839,1.4146227804381732,0.3874242769104796,0,0.21331669862778035,1
ENSMUSG00000025921,Rdh10,0.553732921649142,1.3947701851345924,0.0000003733715789478596,0.20546892872031003,-1.1587517460077703,0.00009227905605646768,0.2189983991412732,-0.8586331432512344,0.06901470150030949
ENSMUSG00000025920,Stau2,0.173846382378219,2.015142356764533,0.00000001277435525896722,0.02319810485551887,-2.585377219561826,0.0000000014154805205642015,0.08086094737523934,-0.3716458020933757,0.7041339749356198
ENSMUSG00000025939,Ube2w,0.2111911608150216,0.784988082272152,0.019354090139119227,0.10770548682919477,-0.840191118590651,0.013346294518144937,0.15161427632857374,-0.10861139625958227,1
ENSMUSG00000025940,Tmem70,0.12491184511620179,0.9949015643269088,0.009380447675354476,0.03148314230391847,-1.9252272224464502,0.0000027910627298392814,0.12466062720349398,0.5908794924879617,0.2812666940695928
ENSMUSG00000025779,Ly96,0.1171853392327254,-0.3077504289249986,0.48170032133988383,0.1723287789267116,0.6490880340751972,0.04828606132099902,0.09096856579714425,-0.5940382234298238,0.37586563048724203
ENSMUSG00000042686,Jph1,0.399202803979614,2.908890003785889,0.000000000000000000037704616270038514,0.038111172262638146,-2.973394504906961,0.0000000000000028997894644117656,0.08086094737523934,-1.5265314040715472,0.002285390377717877
ENSMUSG00000025777,Gdap1,0.0012877509805794,-1.5942731876811616,0.28041284773462843,0.009942044938079517,2.637015201774621,0.024383884603980308,0,-0.7866833013722188,0.8506791589883324
ENSMUSG00000067780,Pi15,0.0553732921649142,0.6281192336552861,0.38608102600862637,0.014913067407119276,-1.9145008158533923,0.0037500464145351054,0.07749174123460437,1.0703587447857377,0.1733605817040304
ENSMUSG00000025776,Crispld1,0.0025755019611588,0.21308173437644307,1,0,-1.4922678151703437,0.4119071567708547,0.006738412281269945,2.2133166986277804,0.35050413518413903
