"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gsdma",1.4321555222916e-34,4.81907520092234,0.333,0.014,2.48006371795237e-30
"Calcb",2.17040336498616e-23,4.76403383736438,0.222,0.009,3.75848750714653e-19
"Rbp2",5.18802530765735e-27,4.57960926622695,0.278,0.013,8.98410342527023e-23
"Plb1",6.47423945093417e-21,4.52302573786058,0.222,0.011,1.12114404571827e-16
"Spink4",3.30991354978586e-06,4.48649986183547,0.056,0.003,0.0573177729416418
"Scn8a",0.0136030400980283,4.48649986183547,0.028,0.003,1
"Acp7",4.16420427047652e-30,4.41611053394407,0.306,0.014,7.21115253518418e-26
"Il22ra1",6.7845324523789e-40,4.41611053394407,0.444,0.023,1.17487748477845e-35
"H2-M5",4.29944954684302e-11,4.41611053394407,0.111,0.006,7.44535678026805e-07
"Gdpd2",6.62692282101228e-55,4.4019663516238,0.639,0.036,1.1475842249147e-50
"Casp14",2.47001084210076e-52,4.38447892489496,0.75,0.06,4.27731777526588e-48
"Bicdl2",6.40278250677442e-40,4.3779754050573,0.417,0.02,1.10876984669813e-35
"Il20ra",8.62148495344683e-45,4.33217171544417,0.583,0.039,1.49298254938839e-40
"Krt6b",1.06312273580093e-19,4.32003871569673,0.639,0.14,1.84100964158647e-15
"Otop3",2.19359559533317e-15,4.31657486039316,0.139,0.006,3.79864949243846e-11
"Dlg2",4.00024781068817e-08,4.31657486039316,0.083,0.005,0.000692722913376871
"Gna14",4.00024781068817e-08,4.31657486039316,0.083,0.005,0.000692722913376871
"Il1f10",0.00323036725524751,4.31657486039316,0.028,0.002,1
"Klk13",7.64066110986499e-27,4.27350613850127,0.278,0.013,1.32313328439532e-22
"Tmprss13",1.27464264493045e-63,4.26831969178593,0.833,0.058,2.20729866822607e-59
"Slc6a20a",6.64159741453165e-34,4.18164528030705,0.417,0.025,1.15012542427445e-29
"Gm5414",3.01333780835179e-05,4.16457176694811,0.056,0.004,0.52181970827228
"Cysrt1",1.11986039164843e-33,4.15151561412266,0.444,0.03,1.93926224021759e-29
"Serpina12",5.46597868476753e-33,4.15151561412266,0.444,0.031,9.46543528841193e-29
"Marveld2",1.69443040805068e-10,4.12392978245076,0.139,0.01,2.93424513762136e-06
"Rhbg",6.38330428638165e-08,4.12392978245076,0.111,0.009,0.00110539680327271
"Rab27b",3.0766749035388e-15,4.09418243905671,0.222,0.018,5.32787793045814e-11
"Mgat5b",3.0886233366483e-07,4.09418243905671,0.083,0.006,0.00534856903207386
"Cit",0.000469120754893636,4.09418243905671,0.056,0.006,1
"Cyp2w1",5.76813452020587e-33,4.07146236255662,0.417,0.026,9.98867854864051e-29
"Gprin2",5.14951701132208e-30,4.06200203330756,0.417,0.03,8.91741860850644e-26
"Krt16",7.1376130238806e-21,4.06151625013639,0.833,0.257,1.2360204473454e-16
"Tnfaip8l3",3.2548058158933e-09,4.05354045455936,0.111,0.007,5.63634723138243e-05
"Fam83d",3.6006368064277e-19,4.03904088486425,0.25,0.017,6.23522275769086e-15
"C130079G13Rik",3.44792126890307e-11,4.02706824319817,0.139,0.009,5.97076526135945e-07
"Mboat2",5.20937991520011e-36,4.01172027886473,0.556,0.046,9.02108319915203e-32
"Cd207",1.7671142762707e-10,4.00845256503082,0.139,0.01,3.06011179221797e-06
"Prom2",2.27132028756661e-46,3.99883456246923,0.75,0.071,3.9332453419791e-42
"Krt78",2.67381517226514e-47,3.9908046992114,0.75,0.067,4.63024573381155e-43
"Mab21l4",6.476459529988e-18,3.98399952130629,0.222,0.014,1.12152849680802e-13
"Wfdc5",3.13585432470249e-38,3.96566769853403,0.528,0.037,5.43035893408729e-34
"Sh3gl2",6.58983404277944e-24,3.96293790577846,0.306,0.02,1.14116156118812e-19
"Tesc",5.54732253351591e-30,3.94734105072744,0.389,0.025,9.60629843128951e-26
"Tjp3",5.69809470557787e-38,3.94001150892895,0.611,0.054,9.8673906016492e-34
"Tuft1",1.41417300882457e-51,3.93010651331108,0.833,0.078,2.44892339938151e-47
"Pglyrp3",0.0138958389654123,3.90153736111431,0.028,0.003,1
"Ccdc106",0.0138958389654123,3.90153736111431,0.028,0.003,1
"Mns1",0.0138958389654123,3.90153736111431,0.028,0.003,1
"Flvcr2",0.0138958389654123,3.90153736111431,0.028,0.003,1
"Cenpp",0.0138958389654123,3.90153736111431,0.028,0.003,1
"Serpinb7",3.65588014768278e-25,3.90153736111431,0.361,0.027,6.33088765174228e-21
"Psors1c2",2.85229519205165e-13,3.90153736111431,0.25,0.027,4.93931958407584e-09
"Ttc22",3.61716165479699e-13,3.90153736111431,0.194,0.016,6.26383883761195e-09
"Csta1",0.000147427787387715,3.90153736111431,0.056,0.005,1
"Rspo4",0.0613365459435256,3.90153736111431,0.028,0.005,1
"Sdr9c7",4.1290736981291e-29,3.90153736111431,0.528,0.055,7.15031692305015e-25
"Trpv6",1.7245139711777e-08,3.90153736111431,0.111,0.008,0.000298634084388842
"Npc1l1",1.7245139711777e-08,3.90153736111431,0.111,0.008,0.000298634084388842
"Fancb",1.7245139711777e-08,3.90153736111431,0.111,0.008,0.000298634084388842
"Flrt1",3.17255221688487e-07,3.90153736111431,0.083,0.006,0.00549390867397953
"Aldh3b3",1.59115143268004e-06,3.90153736111431,0.083,0.007,0.0275539693597203
"Trex2",9.05663689251132e-39,3.85317433955291,0.694,0.072,1.56833781067619e-34
"Nccrp1",2.8084266342837e-45,3.85130305859418,1,0.166,4.86335240258908e-41
"Lypd5",8.59719151179826e-45,3.84969842959469,0.917,0.123,1.4887756540981e-40
"Gsdmc",1.70926147712834e-26,3.84495383274794,0.472,0.047,2.95992809994315e-22
"Pdzk1ip1",4.10352838040357e-43,3.84116474313483,0.972,0.163,7.10608009634487e-39
"Fam25c",1.24420604622827e-29,3.84045389925346,1,0.403,2.1545916102535e-25
"Rnf39",4.17200242016435e-50,3.83379275447848,0.806,0.072,7.2246565909986e-46
"Crb3",1.08781673701039e-17,3.83114803322291,0.25,0.019,1.8837722434809e-13
"Gjb2",2.30023909711212e-16,3.82353484911304,0.222,0.016,3.98332404446906e-12
"Sprr1b",1.82665129880118e-40,3.82353484911304,0.694,0.067,3.16321205413401e-36
"Slc16a11",4.27891180598757e-15,3.81407451986397,0.194,0.013,7.40979157442868e-11
"Abca12",1.6677204974216e-53,3.81227002301722,0.833,0.072,2.88799158538499e-49
"Chit1",1.55241369752477e-44,3.81133955214273,0.972,0.158,2.68831480000364e-40
"Cnfn",2.76396315163973e-41,3.80842795672283,0.806,0.093,4.78635498969452e-37
"Alox12",9.14882017798412e-12,3.8020016875634,0.167,0.013,1.58430119022151e-07
"March9",7.09350386767758e-26,3.7946221571978,0.333,0.021,1.22838206476573e-21
"Ano1",2.46835928570401e-24,3.7946221571978,0.333,0.023,4.27445777505364e-20
"Arhgap8",1.93651859687832e-10,3.78606014369438,0.139,0.01,3.35346925421419e-06
"Cyp17a1",8.2341413037452e-10,3.78606014369438,0.139,0.011,1.42590624956956e-05
"Ly6g6e",6.6991059171388e-24,3.77600647903045,0.417,0.04,1.16008417167093e-19
"Bcl2l14",1.78111913448611e-08,3.76403383736438,0.111,0.008,0.000308436400518959
"Smpd3",1.78111913448611e-08,3.76403383736438,0.111,0.008,0.000308436400518959
"Itpka",7.21258578507956e-08,3.76403383736438,0.111,0.009,0.00124900348040223
"Aplf",7.21258578507956e-08,3.76403383736438,0.111,0.009,0.00124900348040223
"Pitpnm3",7.21258578507956e-08,3.76403383736438,0.111,0.009,0.00124900348040223
"Ikzf2",1.36937119165738e-27,3.75267397519983,0.472,0.045,2.37134009259308e-23
"H60c",4.54918529915937e-15,3.74953426766926,0.222,0.018,7.87782418255429e-11
"Sp6",8.09812355996269e-26,3.731612359672,0.389,0.031,1.40235205687874e-21
"Fat2",1.16386557205898e-40,3.731612359672,0.639,0.054,2.01546601113453e-36
"Cd3g",6.10426724266106e-06,3.731612359672,0.083,0.007,0.105707595841162
"Chga",6.10426724266106e-06,3.731612359672,0.083,0.007,0.105707595841162
"Lpo",0.17659480087202,3.731612359672,0.028,0.007,1
"Clic3",2.37908940433748e-49,3.72847265214143,0.833,0.083,4.11986912149121e-45
"Lipm",3.46136053940455e-35,3.72750796133926,0.639,0.067,5.99403804608686e-31
"Eppk1",1.10564109991369e-43,3.72645065455622,1,0.175,1.91463869272054e-39
"Dapl1",7.30198011289749e-45,3.72465959903023,0.889,0.111,1.26448389615046e-40
"Pglyrp4",4.68777283040065e-15,3.72096511547249,0.278,0.029,8.11781621040481e-11
"Tmprss4",1.15908024980087e-40,3.7120595622506,0.778,0.092,2.00717926858016e-36
"Scnn1b",3.64866383298133e-11,3.70889228317192,0.167,0.014,6.31839115957378e-07
"Hrnr",7.25292015620113e-30,3.70320864466833,0.972,0.317,1.25598818344935e-25
"Dmkn",5.14906308443437e-31,3.69822930010904,1,0.359,8.91663254331499e-27
"Clec2f",2.27356602281296e-20,3.69508648364689,0.306,0.024,3.9371342817052e-16
"Tprg",1.8776810829529e-37,3.69342916578411,0.778,0.099,3.25158033134954e-33
"Pla2g2f",2.74662919611583e-33,3.68906565357656,1,0.312,4.75633777891378e-29
"Ly6g6c",1.49041791133399e-37,3.68753882551262,1,0.238,2.58095669705707e-33
"Lypd3",1.43558148983845e-54,3.6820922238282,1,0.112,2.48599646595324e-50
"Cers3",3.88423112672876e-40,3.67914493977786,0.639,0.055,6.72632304215619e-36
"Lpar5",1.77394382910234e-14,3.67914493977786,0.222,0.019,3.07193852885652e-10
"Serpinb3a",0.000488538515496644,3.67914493977786,0.056,0.006,1
"Kif15",0.000488538515496644,3.67914493977786,0.056,0.006,1
"Fgf22",0.000488538515496644,3.67914493977786,0.056,0.006,1
"Sun3",0.000488538515496644,3.67914493977786,0.056,0.006,1
"Alox8",0.000488538515496644,3.67914493977786,0.056,0.006,1
"4930503B20Rik",0.0957825481375905,3.67914493977786,0.028,0.006,1
"Slc15a2",0.0957825481375905,3.67914493977786,0.028,0.006,1
"Il1f5",1.36716810345607e-35,3.67058292627444,0.806,0.117,2.36752500475487e-31
"Gm11992",9.69070055580975e-28,3.66707210747729,0.417,0.033,1.67813861524957e-23
"Skint1",8.5246315306336e-43,3.66052926161052,0.75,0.074,1.47621044215982e-38
"Scin",2.24544523972588e-18,3.66052926161052,0.278,0.022,3.8884375216333e-14
"Tacstd2",5.524869290656e-33,3.65802551354534,1,0.32,9.56741615062899e-29
"Oas1f",6.61275627413755e-46,3.65606132666482,0.889,0.106,1.1451310039924e-41
"Ly6m",6.35942685459713e-16,3.64778076886853,0.278,0.027,1.10126194841059e-11
"Dsc3",1.35279412190883e-38,3.64704806441353,0.972,0.193,2.34263358090953e-34
"Ltb4r2",3.74227334735875e-26,3.64519760785453,0.417,0.035,6.48049475562114e-22
"Slitrk6",3.62597064320421e-23,3.63850295528052,0.361,0.03,6.27909336283673e-19
"Slc24a3",1.92405266547375e-23,3.63850295528052,0.417,0.041,3.33188200080089e-19
"Mgst2",7.43023059524572e-08,3.63850295528052,0.111,0.009,0.0012866930321787
"Slc6a19",2.49609810274685e-07,3.63850295528052,0.111,0.01,0.00432249308452673
"Slc15a1",2.49609810274685e-07,3.63850295528052,0.111,0.01,0.00432249308452673
"Wnt4",1.31052251972235e-48,3.63594725037676,0.833,0.081,2.26943184740319e-44
"Dnase1l2",3.90016812838037e-24,3.63304852518841,0.583,0.089,6.75392114791628e-20
"Aloxe3",1.13978203037202e-27,3.62973274565279,0.583,0.072,1.97376054199523e-23
"Krt1",1.28201336535259e-29,3.62686578508227,1,0.391,2.22006254478107e-25
"Adgrf4",2.30483511824138e-43,3.62653031361444,0.806,0.086,3.9912829742586e-39
"Klk11",1.07234115930338e-23,3.62142944192158,0.361,0.029,1.85697318556566e-19
"Skint11",1.28368019832503e-10,3.62142944192158,0.167,0.015,2.22294899943945e-06
"Krt77",1.59395436488312e-25,3.61945236304626,1,0.607,2.7602507736681e-21
"Ceacam19",3.36222283460711e-21,3.61613514225206,0.361,0.033,5.82236128268914e-17
"Lipk",2.59610647851146e-09,3.61203074391933,0.167,0.018,4.49567758883829e-05
"Clca3a2",1.7044960879926e-40,3.61114483966006,0.889,0.122,2.95167587557679e-36
"Ankrd35",6.58149555826174e-31,3.6078061580576,0.583,0.062,1.13971758582419e-26
