"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nap1l5",8.38193164525761e-11,5.09080886913033,0.053,0.001,1.45149910300926e-06
"Rgs7",1.10312939261596e-11,4.99127319557942,0.066,0.002,1.91028916919306e-07
"Pck1",1.6117124633003e-59,4.39403236507982,0.553,0.042,2.79100247269713e-55
"Il1f10",3.98186740122145e-05,4.35384327496413,0.026,0.001,0.689539977869519
"Mup17",7.19134228258539e-51,4.09604551749648,0.513,0.045,1.24532474307531e-46
"Thrsp",1.25667674391418e-19,4.06844105610188,0.171,0.012,2.17618711743618e-15
"Mup10",1.45089437169772e-11,3.96152585218536,0.092,0.006,2.51251378346895e-07
"Camp",1.39178434827304e-39,3.92499997616025,0.382,0.03,2.41015295590442e-35
"Phactr1",2.69117918312809e-05,3.76888077424297,0.039,0.003,0.466031499142292
"6430550D23Rik",0.000616872583260104,3.76888077424297,0.026,0.002,1
"Klhdc7a",5.74656689146985e-31,3.76888077424297,0.289,0.021,9.95132988595835e-27
"Sctr",2.61377972921822e-09,3.76888077424297,0.079,0.006,4.5262823570872e-05
"A530016L24Rik",1.21985716467699e-06,3.76888077424297,0.053,0.004,0.0211242665207114
"Cdo1",8.2463494993512e-48,3.60382152797247,0.566,0.063,1.42802034280265e-43
"Agt",7.68128848175624e-10,3.59895577280066,0.092,0.008,1.33016872638573e-05
"Gli2",1.62658792780903e-08,3.57623569630057,0.079,0.007,0.000281676231458689
"Glb1l2",1.13356711197033e-41,3.54648835290652,0.461,0.044,1.96299816779901e-37
"Adora1",7.79313920072531e-08,3.40631069485826,0.079,0.008,0.0013495379153896
"Adipoq",5.75567997225703e-54,3.40482720368293,0.724,0.098,9.96711100795749e-50
"Cyp2e1",9.21820674372144e-15,3.39448525946147,0.211,0.029,1.59631686181024e-10
"Plin1",1.28936271908521e-57,3.37097207352707,0.895,0.173,2.23278942063985e-53
"Zfp57",0.00325438477943116,3.35384327496413,0.026,0.003,1
"Smoc1",4.80356971765487e-24,3.34145955050829,0.303,0.035,8.31834168006293e-20
"Hpx",2.1252320827869e-16,3.30944915560567,0.184,0.018,3.68026439776207e-12
"Cidec",1.2356280526363e-51,3.28555853539765,0.711,0.101,2.13973709875028e-47
"Mup11",7.40885044581451e-06,3.28345394707273,0.053,0.005,0.12829906317017
"Trarg1",3.69090930966026e-34,3.25698173571154,0.461,0.058,6.39154765153866e-30
"Gjc1",3.02837992318624e-07,3.25430760141321,0.079,0.009,0.00524424551298162
"Chrdl1",5.55303871244243e-10,3.22831239288027,0.118,0.014,9.61619713833656e-06
"Cd1d1",1.15163385546333e-08,3.22139297894048,0.118,0.016,0.000199428434750585
"Mrap",1.53578230174135e-15,3.18391827352181,0.197,0.023,2.6595142119255e-11
"Acvr1c",5.69944996121978e-10,3.18391827352181,0.118,0.014,9.86973749784429e-06
"Paqr9",5.55739796445571e-06,3.18391827352181,0.066,0.008,0.0962374605504795
"Rasd1",5.72023296578142e-40,3.13811458390869,0.526,0.065,9.90572742684368e-36
"Mill2",9.92564906061528e-07,3.11680407766328,0.079,0.01,0.0171882464782675
"Ssx2ip",9.71381818627631e-05,3.09080886913033,0.053,0.007,1
"Prdm16",9.71381818627631e-05,3.09080886913033,0.053,0.007,1
"Trf",1.23808254926257e-52,3.05906678633673,0.974,0.29,2.14398755055799e-48
"Spata25",0.00997693704176624,3.03191518007676,0.026,0.004,1
"Fam181b",0.00997693704176624,3.03191518007676,0.026,0.004,1
"Olfr675",0.00997693704176624,3.03191518007676,0.026,0.004,1
"Rprml",0.00997693704176624,3.03191518007676,0.026,0.004,1
"Slc1a1",0.00997693704176624,3.03191518007676,0.026,0.004,1
"Syn1",0.00997693704176624,3.03191518007676,0.026,0.004,1
"Ces1d",1.65866457537658e-05,3.03191518007676,0.066,0.009,0.287230944517962
"Retn",3.29022153125843e-45,3.01479100228555,0.618,0.081,5.69767662568022e-41
"B3galt2",1.86576972723503e-35,2.99629127034604,0.487,0.062,3.2309534366529e-31
"Slc7a10",5.50670438443476e-11,2.98460946529841,0.171,0.026,9.53595998252567e-07
"Cd59b",0.00157457075176627,2.96152585218536,0.039,0.006,1
"Lrrc51",0.00157457075176627,2.96152585218536,0.039,0.006,1
"Aqp7",3.93120970991786e-12,2.96152585218536,0.171,0.023,6.80767585466476e-08
"Cacng7",0.00680925021765086,2.92088386768802,0.039,0.008,1
"Cfd",6.02491962193565e-45,2.90771487609107,1,0.507,1.0433353309306e-40
"Slc36a2",6.72066483597829e-20,2.89894131480734,0.303,0.043,1.16381752964636e-15
"Lipe",3.85720432891885e-51,2.89588605097829,0.895,0.185,6.67952073638878e-47
"Slc9a7",0.00115091495036983,2.89441165632683,0.053,0.01,1
"Lep",9.63189687714878e-10,2.87579597815948,0.145,0.021,1.66795558221585e-05
"Riox1",8.37572988140402e-09,2.87579597815948,0.145,0.024,0.000145042514356273
"Plagl1",9.32845307327183e-10,2.82546430260934,0.145,0.021,1.61540821869848e-05
"Tmem141",5.23410471551843e-08,2.82546430260934,0.132,0.022,0.000906389913586326
"Fzd4",1.22292190587955e-22,2.8213481941371,0.342,0.048,2.11773386441162e-18
"Cp",1.65618031825671e-25,2.80204763817817,0.434,0.071,2.86800745712515e-21
"Lpl",9.14272976294988e-45,2.79584782184324,0.868,0.206,1.58324651305003e-40
"Asb18",0.149885559699318,2.76888077424297,0.013,0.003,1
"Zfp937",0.149885559699318,2.76888077424297,0.013,0.003,1
"Pax7",0.149885559699318,2.76888077424297,0.013,0.003,1
"Tmem52",0.149885559699318,2.76888077424297,0.013,0.003,1
"Il9r",0.149885559699318,2.76888077424297,0.013,0.003,1
"Psd2",0.149885559699318,2.76888077424297,0.013,0.003,1
"Ak5",2.08037897443456e-07,2.76888077424297,0.105,0.015,0.00360259227002833
"Iqck",1.64450717221304e-05,2.76888077424297,0.079,0.013,0.284779307012132
"Kctd12b",1.64450717221304e-05,2.76888077424297,0.079,0.013,0.284779307012132
