"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sult2a8",1.88500127004705e-05,4.77900606607641,0.014,0,0.325200419108517
"Olfr1221",0.000955681122651063,3.77900606607641,0.014,0.001,1
"Olfr512",2.59313680941896e-05,3.51597166024262,0.028,0.002,0.447367962360958
"Car6",6.45956309476489e-19,3.19404356535526,0.159,0.02,1.11440382510884e-14
"Olfr1101",6.08602302512559e-08,3.19404356535526,0.055,0.006,0.00104996069229467
"Vmn1r225",1.92937474424763e-05,3.19404356535526,0.034,0.004,0.3328557308776
"Cul2",1.53097717901748e-06,3.02411856391295,0.048,0.006,0.0264124182924095
"Tyr",0.000480550604139946,2.93100915952146,0.028,0.004,1
"Olfr648",0.000480550604139946,2.93100915952146,0.028,0.004,1
"Wfdc11",0.00332907146743239,2.8721154704679,0.021,0.003,1
"Olfr820",3.15363559075744e-05,2.83147348597055,0.041,0.006,0.544065212117473
"Dnah11",3.15363559075744e-05,2.83147348597055,0.041,0.006,0.544065212117473
"Ms4a1",3.15363559075744e-05,2.83147348597055,0.041,0.006,0.544065212117473
"Cyp4a14",0.0235513163550344,2.77900606607641,0.014,0.002,1
"Olfr1381",0.00133438760984256,2.70861673818502,0.028,0.005,1
"Lect2",0.00133438760984256,2.70861673818502,0.028,0.005,1
"Samd15",8.26568788040733e-05,2.6794703925255,0.041,0.007,1
"1700034E13Rik",0.00605722346044248,2.6090810646341,0.028,0.006,1
"Anxa10",0.00854389214477731,2.6090810646341,0.021,0.004,1
"1700012B09Rik",1.22757975944348e-05,2.55661364473997,0.055,0.01,0.211782060099188
"6430531B16Rik",3.01164269305596e-07,2.53107855263283,0.076,0.014,0.00519568597406014
"Olfr1230",2.63895996362721e-05,2.45707797118905,0.055,0.011,0.455273372924966
"Vmn2r111",0.00110924706590052,2.45707797118905,0.034,0.007,1
"F2rl3",0.000401555908143984,2.41643598669171,0.041,0.008,1
"Rpe65",3.57595036934278e-06,2.40554767054897,0.069,0.014,0.0616922957719017
"Ppbp",8.3472378298859e-47,2.40142341583668,0.683,0.181,1.44006547041192e-42
"Gm29133",0.0178004779891199,2.38668864329765,0.021,0.005,1
"Pdzd7",0.0178004779891199,2.38668864329765,0.021,0.005,1
"Gimd1",0.00615590064402894,2.34604665880031,0.028,0.006,1
"Tacr3",0.00615590064402894,2.34604665880031,0.028,0.006,1
"Iqcf6",0.00615590064402894,2.34604665880031,0.028,0.006,1
"Gm12248",0.00615590064402894,2.34604665880031,0.028,0.006,1
"Gm11568",0.00615590064402894,2.34604665880031,0.028,0.006,1
"Nme8",0.00615590064402894,2.34604665880031,0.028,0.006,1
"Olfr629",0.00216959957705421,2.31957444743912,0.034,0.008,1
"Ccr1l1",0.00216959957705421,2.31957444743912,0.034,0.008,1
"Gm36368",0.00216959957705421,2.31957444743912,0.034,0.008,1
"C87499",0.000773367752285402,2.30095876927177,0.041,0.009,1
"AF067061",0.000773367752285402,2.30095876927177,0.041,0.009,1
"Olfr1444",0.000773367752285402,2.30095876927177,0.041,0.009,1
"Ddx4",0.00027760939916825,2.28715296974674,0.048,0.011,1
"Hnrnpr",0.000100080664919655,2.27650572554723,0.055,0.012,1
"Ccl22",0.000221114893411808,2.26804414679904,0.083,0.026,1
"Arg1",6.21265221198717e-67,2.226122305397,1,0.76,1.07180675961203e-62
"A530064D06Rik",7.33279022633337e-34,2.21004404404897,0.538,0.144,1.26505296984703e-29
"Iglc1",0.00620511892544337,2.19404356535526,0.028,0.006,1
"Chd5",0.011062046026761,2.19404356535526,0.028,0.007,1
"Vmn1r89",0.011062046026761,2.19404356535526,0.028,0.007,1
"Olfr298",0.011062046026761,2.19404356535526,0.028,0.007,1
"Pate14",0.011062046026761,2.19404356535526,0.028,0.007,1
"Krtap4-16",0.011062046026761,2.19404356535526,0.028,0.007,1
"Baiap3",0.011062046026761,2.19404356535526,0.028,0.007,1
"Myo3b",0.0320290205643328,2.19404356535526,0.021,0.005,1
"Olfr873",0.0320290205643328,2.19404356535526,0.021,0.005,1
"Noxred1",0.0320290205643328,2.19404356535526,0.021,0.005,1
"Glyat",0.0320290205643328,2.19404356535526,0.021,0.005,1
