"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Wfdc12",9.83450033264453e-62,3.68049413482941,0.719,0.174,1.69664799738783e-57
"Nat8f7",4.81367168636541e-16,3.17672361976427,0.133,0.016,8.3045463933176e-12
"Ctsk",5.12836942608849e-81,3.16594914817009,1,0.469,8.84746293388785e-77
"Itgbl1",1.12661693566841e-31,2.97781955135019,0.333,0.052,1.94363953741514e-27
"Gpnmb",3.40027644203939e-45,2.9555151911417,0.563,0.118,5.86615691780635e-41
"Lum",1.94827678389987e-76,2.91141007437134,0.926,0.29,3.36116710758406e-72
"Cd209d",1.76783676910057e-26,2.84456763220228,0.311,0.055,3.0498719940523e-22
"C1qtnf3",1.82163949609836e-08,2.82254132587228,0.089,0.015,0.00031426924586689
"Myo16",4.03177332397264e-14,2.79339498021276,0.163,0.028,6.9556153385176e-10
"Cemip",5.23189876958782e-08,2.79339498021276,0.104,0.022,0.00090260717572929
"Pla2g2e",1.39360247670212e-28,2.7692993045953,0.385,0.079,2.4042429928065e-24
"Cpz",5.30003842611346e-07,2.72300565232137,0.067,0.01,0.00914362629273095
"C7",8.59025310121453e-47,2.71382233015603,0.696,0.197,1.48199046502153e-42
"Ltbp1",2.75407219426451e-29,2.7065175295328,0.385,0.079,4.75132534954513e-25
"Cd72",4.38654142741964e-08,2.7065175295328,0.126,0.031,0.000756766127058436
"Grem1",4.8473420805248e-19,2.6641119632678,0.237,0.044,8.36263455732139e-15
"Adra1a",0.00110104269287999,2.65589145646283,0.037,0.007,1
"Zfpm2",0.00172020150519389,2.62989624792988,0.03,0.005,1
"Cd209b",4.46516377236623e-13,2.62207674347058,0.148,0.025,7.70330054008622e-09
"Chrna7",0.000345421724482126,2.60752843490143,0.044,0.009,1
"Masp1",3.66277454845483e-31,2.57977276850405,0.422,0.088,6.31901865099427e-27
"Cpxm1",2.14414107676734e-74,2.57476284347484,1,0.597,3.69907218563901e-70
"Sectm1b",3.30045459423277e-07,2.57100255887632,0.096,0.021,0.00569394426597038
"Mmp2",4.34113787768147e-65,2.56433520551307,0.956,0.44,7.48933106657608e-61
"Slc6a7",2.1740121154915e-13,2.56073422342249,0.17,0.033,3.75060570164593e-09
"Mfap4",3.01750408672218e-10,2.55950692003849,0.141,0.03,5.20579805041311e-06
"Actg2",0.00287820522026351,2.54612789023729,0.067,0.023,1
"Efemp1",7.31408905682624e-59,2.53223298871174,0.807,0.216,1.26182664408366e-54
"Colec12",9.89614913707356e-14,2.527281181447,0.207,0.047,1.70728364912793e-09
"Sectm1a",1.62244879376085e-24,2.52298104401337,0.326,0.066,2.79904865899622e-20
"Igsf9b",5.63477950828553e-05,2.50061323098492,0.052,0.01,0.97211216076942
"Smarca1",5.63477950828553e-05,2.50061323098492,0.052,0.01,0.97211216076942
"Kctd16",0.0118175137358067,2.50061323098492,0.022,0.004,1
"a",5.91975397265796e-15,2.49505370564302,0.215,0.046,1.02127595536295e-10
"Thbs2",6.98277660914641e-58,2.48810624429019,0.881,0.298,1.20466862060994e-53
"Osr2",7.06669553685582e-24,2.48550633859471,0.385,0.096,1.21914631401837e-19
"Smoc2",1.57953144282523e-61,2.48193137869922,0.933,0.394,2.72500764516209e-57
"Gas1",1.55548282233397e-49,2.48022411062635,0.733,0.203,2.68351896509056e-45
"Pianp",1.88341494177448e-09,2.47397810448145,0.133,0.029,3.24926745754934e-05
"Magi2",0.00173684879855969,2.45997124648757,0.03,0.005,1
"Flrt1",0.00361184467816627,2.45997124648757,0.03,0.006,1
"Lef1",0.00189589027867727,2.45997124648757,0.044,0.011,1
"Greb1l",3.10653038725413e-09,2.44123468390599,0.111,0.021,5.35938622409082e-05
"Rerg",3.27571306244382e-10,2.43921268632077,0.141,0.03,5.65126017532808e-06
"Scara5",1.89845765367464e-20,2.43921268632077,0.326,0.079,3.27521914411949e-16
"Gm7324",0.00112519001680474,2.43349903512638,0.037,0.007,1
