"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tmem35a",1.61214827957857e-12,4.00300248816152,0.071,0.004,2.7741847594988e-08
"Cyp2b23",9.62145514769851e-05,3.88752527074159,0.019,0.001,1
"Col8a2",7.92283255665836e-20,3.78061006682508,0.135,0.011,1.36336102634977e-15
"Fgf18",2.26183518807882e-18,3.69488019279919,0.135,0.013,3.89216599164604e-14
"Gnmt",3.62208475998279e-07,3.69488019279919,0.039,0.003,0.00623288345497838
"Ildr1",3.75732073479077e-12,3.58796498888268,0.077,0.006,6.46559752042795e-08
"Lpar3",3.28045728903935e-10,3.53960196732128,0.065,0.005,5.64501090297891e-06
"Krt75",4.13505722801281e-43,3.53960196732128,0.523,0.11,7.11560647796444e-39
"Sgpp2",2.57983165363536e-13,3.51555649335463,0.09,0.008,4.43937430957573e-09
"Wfdc3",5.61004727172203e-12,3.37295209791183,0.084,0.008,9.65376934517927e-08
"Rgs6",1.85637163097902e-09,3.34695688937888,0.065,0.006,3.19444430258869e-05
"Gpm6a",4.58517298904189e-10,3.30256277002043,0.071,0.007,7.89016567954329e-06
"Tmem116",6.14051486360349e-07,3.30256277002043,0.045,0.004,0.0105665979772889
"Crygn",1.11548615449284e-10,3.26603689399532,0.077,0.008,1.91952857465127e-06
"Vwa2",6.02928261703845e-23,3.26192078552309,0.194,0.023,1.03751895273998e-18
"Dct",2.22795761492236e-14,3.23899764124297,0.148,0.024,3.83386946375839e-10
"Sdk2",2.68136913976615e-11,3.23544857416189,0.084,0.009,4.61410001570959e-07
"Adcy1",1.25013540375912e-22,3.16170023418058,0.219,0.031,2.1512330027887e-18
"Duox2",5.0060258961952e-05,3.15055967657538,0.032,0.003,0.86143693621727
"Cyp1a1",2.543367497099e-16,3.13906403773755,0.187,0.034,4.37662678900796e-12
"Tbx1",3.45873768102789e-34,3.12333820784036,0.4,0.078,5.95179580151279e-30
"Pdzrn4",1.94038385052858e-10,3.12199052437861,0.097,0.014,3.33901252998959e-06
"Spock2",1.55399876078215e-14,3.10991769207804,0.123,0.015,2.67412106755393e-10
