"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Plin1",5.36202495772269e-134,4.22156529157696,0.942,0.195,1.03031309562642e-129
"Mrap",5.29904224572026e-87,4.19224195406029,0.401,0.026,1.01821096751515e-82
"Thrsp",2.94409421226287e-47,4.17585965710119,0.203,0.011,5.65707702886311e-43
"A530016L24Rik",5.46224729886906e-27,3.96410575621109,0.128,0.009,1.04957081847769e-22
"Pck1",3.87445962601029e-96,3.92089368938979,0.564,0.061,7.44477417137877e-92
"Slc7a10",6.3514978572456e-48,3.83871665537061,0.238,0.017,1.22044031326974e-43
"Cfd",2.13083011456932e-101,3.8197206389991,1,0.684,4.09439006514495e-97
"Cidec",1.91734752414243e-126,3.81081969688257,0.767,0.099,3.68418326763969e-122
"Adipoq",7.74333804966644e-123,3.80392873132034,0.779,0.107,1.48788240624341e-118
"Adrb3",2.7124066513799e-99,3.78785511651936,0.587,0.064,5.21188938062648e-95
"Cdo1",1.23711537558998e-111,3.76416818570234,0.645,0.07,2.37711719419615e-107
"Klhdc7a",1.07293853420566e-46,3.74474739496428,0.25,0.021,2.06165139347617e-42
"Fabp4",9.82880299456075e-100,3.67021201513027,0.994,0.705,1.88860449540485e-95
"Rgs7",3.61832907994151e-18,3.6003574856291,0.093,0.008,6.95261932710762e-14
"Retn",2.87608912898559e-100,3.5301726358106,0.721,0.113,5.52640526134582e-96
"Rasd1",2.8765209704104e-94,3.51902943055086,0.616,0.078,5.52723504464359e-90
"Cyp2e1",4.64897851274682e-59,3.49895545342089,0.378,0.042,8.93301221224302e-55
"Adora1",1.71850027489987e-25,3.36331828832825,0.163,0.018,3.3020982782201e-21
"Aoc3",6.95575521855437e-80,3.34178272798601,0.529,0.065,1.33654836524522e-75
"Mup17",5.98471212357189e-69,3.32024956643637,0.477,0.062,1.14996243454434e-64
"Apol6",8.7176405784985e-46,3.23144029947851,0.314,0.038,1.67509463715849e-41
"Tshr",2.48207374298748e-43,3.23005175746479,0.291,0.034,4.76930469715044e-39
"Slc22a3",5.710037522231e-37,3.16497134095845,0.244,0.028,1.09718370989669e-32
"Hpx",5.46262472731908e-43,3.15797813753749,0.331,0.047,1.04964334135436e-38
"Trarg1",3.38098270752503e-75,3.147264765245,0.576,0.088,6.49655827250934e-71
"Trf",2.4521983143285e-92,3.12168556723357,0.977,0.456,4.71189906098221e-88
"Hp",4.56810184541048e-91,3.10829896569718,1,0.876,8.77760769595623e-87
"Gnal",1.7457822147706e-32,3.08892402032991,0.233,0.03,3.3545205256817e-28
"Chrdl1",2.66641095763001e-22,3.05016040306862,0.169,0.023,5.12350865508606e-18
"Slc1a3",1.09226342289437e-66,3.04461512382294,0.547,0.09,2.09878416709153e-62
"Rims4",1.59648813308157e-11,3.04014164724363,0.076,0.009,3.06765194771624e-07
"Slc16a12",8.67327420597515e-28,3.03074294924138,0.198,0.025,1.66656963867813e-23
"Lep",6.1306606590666e-22,3.03074294924138,0.145,0.017,1.17800644563965e-17
"Glb1l2",1.84217294351988e-62,3.02435933245053,0.488,0.073,3.53973531097345e-58
"Fam222a",1.3143712242683e-06,2.998321471549,0.041,0.005,0.0252556430743154
