"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Krt82",0.0322963015392653,2.64385618977472,0.014,0.003,1
"Olfr406",0.011674643280229,2.47393118833241,0.021,0.005,1
"Crispld1",0.0069925545646302,2.26534456652099,0.029,0.007,1
"Dlx2",0.0069925545646302,2.26534456652099,0.029,0.007,1
"Il27ra",0.0891346794675365,2.22881869049588,0.014,0.004,1
"Olfr465-ps1",0.0891346794675365,2.22881869049588,0.014,0.004,1
"Cda",0.0304963493182613,2.18442457113743,0.021,0.006,1
"Stac",4.74622387038709e-05,2.15842936260448,0.064,0.015,0.911986916694879
"Stum",0.000109404718594158,2.05889368905357,0.064,0.017,1
"Cplx2",0.00580430260777923,2.05889368905357,0.036,0.01,1
"Lrfn2",0.0444756330046418,2.05889368905357,0.021,0.006,1
"Prss48",0.127630171318121,2.05889368905357,0.014,0.005,1
"Vat1l",0.00830541908866139,1.9808911770523,0.036,0.01,1
"Mag",0.00353902083800407,1.95935801550265,0.064,0.023,1
"Cnksr2",0.000613783941339047,1.95580019608946,0.057,0.016,1
"Naa20",0.00397819344721762,1.95580019608946,0.05,0.016,1
"Kcnk3",0.00780529367641754,1.94341647163363,0.043,0.014,1
"Sp7",0.0616711180070411,1.94341647163363,0.021,0.007,1
"Hmga2",0.0647990286870842,1.90689059560852,0.029,0.011,1
"Col19a1",0.171471086324511,1.90689059560852,0.014,0.005,1
"Ascl2",0.171471086324511,1.90689059560852,0.014,0.005,1
"Trim71",0.171471086324511,1.90689059560852,0.014,0.005,1
"Cacng2",0.171471086324511,1.90689059560852,0.014,0.005,1
"Fgf22",0.0260062053730561,1.86624861111117,0.036,0.013,1
"Sema5b",0.082069388833234,1.83650126771712,0.021,0.007,1
"Mpz",3.48807610972188e-05,1.82051153683626,0.286,0.162,0.670233824483059
"Pllp",0.00679160339583029,1.81378119121704,0.05,0.017,1
"Zfp772",0.0406396949200454,1.79585928321977,0.029,0.01,1
"Fcrla",0.00229848017835389,1.78587519464715,0.05,0.015,1
"4933414I15Rik",0.219547094322316,1.76938707185858,0.014,0.006,1
"Olfr749",0.219547094322316,1.76938707185858,0.014,0.006,1
"Cabp4",0.219547094322316,1.76938707185858,0.014,0.006,1
"Nlrc3",0.00538399403176106,1.73696559416621,0.05,0.017,1
"Nrg2",0.0823343928079282,1.73696559416621,0.021,0.007,1
"Pax7",0.105567030164268,1.73696559416621,0.021,0.008,1
"Sh2d5",0.00124724729305703,1.72329065726913,0.079,0.029,1
"Gm20481",0.0523782834388665,1.7178567712185,0.029,0.01,1
"Lhx8",0.0264593369214871,1.70525673443887,0.036,0.013,1
"Gm19426",0.00186372999791605,1.68038206579984,0.064,0.022,1
"Adam11",0.0153314607144841,1.67702305370992,0.057,0.023,1
"Upp2",0.0659812552643251,1.64385618977472,0.029,0.011,1
"P2ry14",0.0659812552643251,1.64385618977472,0.029,0.011,1
"A530084C06Rik",0.131991656652033,1.64385618977472,0.021,0.009,1
"Sox10",0.208700500901003,1.64385618977472,0.029,0.015,1
"Gm9774",0.270816319072853,1.64385618977472,0.014,0.006,1
"Pspn",0.270816319072853,1.64385618977472,0.014,0.006,1
"Tmem231",0.0214744211997286,1.59323011670476,0.043,0.016,1
"Slc6a1",0.0814681488171036,1.57346686188333,0.029,0.011,1
"Tktl1",0.0814681488171036,1.57346686188333,0.029,0.011,1
"Tmem44",7.58243745307278e-07,1.56412899730399,0.15,0.049,0.0145696535660793
"Armc2",0.011190355959151,1.55639334852439,0.05,0.018,1
"Trpm1",0.0454095748645301,1.55639334852439,0.043,0.018,1
"Tmem211",0.161121546110832,1.55639334852439,0.021,0.009,1
"Gm4981",0.161121546110832,1.55639334852439,0.021,0.009,1
"Rem1",5.02522092517344e-06,1.54197657575551,0.2,0.086,0.0965596200772077
"Hba-a2",7.22695815586151e-12,1.54032929987541,0.579,0.361,1.38866000964879e-07
"Rbp7",0.0518670435787968,1.53951952995999,0.05,0.023,1
"Ccm2l",0.000412823009803686,1.53473446739461,0.157,0.076,1
"Gdf10",0.0143232398706716,1.53423169860023,0.086,0.042,1
"Rgs16",0.000657480520064062,1.52837897235479,0.079,0.027,1
"Gspt2",0.0510481587272034,1.52837897235479,0.036,0.014,1
"2310003L06Rik",0.324351134399785,1.52837897235479,0.014,0.007,1
"Il9r",0.324351134399785,1.52837897235479,0.014,0.007,1
"Fsd1",0.324351134399785,1.52837897235479,0.014,0.007,1
"Shank3",7.7988954867165e-11,1.52186566539611,0.421,0.213,1.49855776777258e-06
"Timp4",0.00564923069535102,1.51832530769087,0.064,0.025,1
"Cd209c",0.000936800455979801,1.51397590722781,0.236,0.139,1
"Foxf1",0.0817515621818348,1.50635266602479,0.029,0.011,1
"Tnni1",0.0988296667444781,1.50635266602479,0.029,0.012,1
"Comp",0.0988296667444781,1.50635266602479,0.029,0.012,1
"1700066M21Rik",0.0322919258174685,1.49701480144545,0.043,0.017,1
"Hapln4",0.010855571699494,1.49185309632967,0.057,0.022,1
"Egfl7",6.83968411236597e-15,1.47512794911517,0.614,0.357,1.31424530219112e-10
"Sele",0.0269929414809438,1.47393118833241,0.036,0.013,1
"Slc28a3",0.192702712237664,1.47393118833241,0.021,0.01,1
"Cck",0.0991536720694949,1.44222232860507,0.029,0.012,1
"Ly6k",0.372943798337895,1.44222232860507,0.021,0.013,1
"Plekha4",0.017124933005252,1.43140657168586,0.171,0.111,1
"Reln",2.87293010400712e-05,1.43086246644053,0.143,0.055,0.552033519484968
"Ccl8",4.92819501034564e-29,1.42896730026864,0.993,0.826,9.46952671237915e-25
"Tyrp1",0.0547078357459269,1.42884329880387,0.064,0.033,1
"Nkapl",0.0735666186607918,1.42146376843828,0.036,0.015,1
"Cfap77",0.379353080402926,1.42146376843828,0.014,0.007,1
"Ccdc81",0.379353080402926,1.42146376843828,0.014,0.007,1
"Olfr600",0.379353080402926,1.42146376843828,0.014,0.007,1
"Spesp1",0.379353080402926,1.42146376843828,0.014,0.007,1
"Pcp4",0.379353080402926,1.42146376843828,0.014,0.007,1
"Plvap",3.83903106170388e-12,1.39965039031188,0.6,0.367,7.37669818506401e-08
"Pbx4",0.226463020346905,1.39592867633114,0.021,0.01,1
"Cldn34c1",0.226463020346905,1.39592867633114,0.021,0.01,1
"Cenpp",0.118396037006188,1.38082178394093,0.029,0.013,1
"Zic4",0.00296303240062987,1.37083769536831,0.079,0.031,1
"Bcl6b",0.0344434471817743,1.37083769536831,0.086,0.046,1
"Zfp57",0.0738441523270892,1.37083769536831,0.036,0.015,1
"Ankrd34a",0.0867506981111503,1.37083769536831,0.036,0.016,1
"Tmem252",1.5558205874785e-05,1.37083769536831,0.207,0.093,0.298950925883995
"Sbspon",0.256265625838574,1.35845397091248,0.036,0.021,1
"Prox1",0.0140630223375415,1.34840030624855,0.064,0.027,1
"Ak5",0.00787706288569301,1.34429590791582,0.079,0.034,1
"Dct",2.2150490392718e-05,1.34362316598668,0.214,0.101,0.425621672896077
"Robo4",0.00424905876139088,1.34066465746895,0.143,0.077,1
"Gimap1",0.000469982871331886,1.33043959474288,0.164,0.08,1
"Cdkn1c",0.00014049885750695,1.32850074881085,0.214,0.112,1
"Begain",0.0406962264421939,1.32192809488736,0.05,0.022,1
"Tmem121",0.079221652580351,1.32192809488736,0.057,0.03,1
"Syp",0.262123396315605,1.32192809488736,0.021,0.011,1
"Ppfia4",0.435150921096747,1.32192809488736,0.014,0.008,1
"Dspp",0.435150921096747,1.32192809488736,0.014,0.008,1
"Gp9",0.435150921096747,1.32192809488736,0.014,0.008,1
"Col6a4",0.435150921096747,1.32192809488736,0.014,0.008,1
"Slc36a3",0.435150921096747,1.32192809488736,0.014,0.008,1
"Hist1h1t",0.435150921096747,1.32192809488736,0.014,0.008,1
"Kctd17",4.97175706331925e-05,1.32192809488736,0.236,0.121,0.955323119716794
"Tspyl5",0.0549395572792487,1.32192809488736,0.043,0.019,1
"Zfp618",0.118773834068952,1.32192809488736,0.029,0.013,1
"Tacr1",0.118773834068952,1.32192809488736,0.029,0.013,1
"Adamts13",0.161704496733805,1.32192809488736,0.029,0.014,1
