"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Plin1",2.18165155980599e-121,4.09848455114973,0.866,0.194,4.19204347216721e-117
"Mrap",1.90088825077758e-77,4.04227773835019,0.361,0.026,3.65255677386912e-73
"Thrsp",6.24395747299272e-41,3.9836177030409,0.18,0.011,1.19977642843555e-36
"A530016L24Rik",8.12582115441562e-26,3.92155673490865,0.119,0.008,1.56137653482096e-21
"Pck1",8.83961996789431e-90,3.8076069872353,0.521,0.06,1.69853297683089e-85
"Slc7a10",4.78614355125934e-46,3.78008430895576,0.222,0.017,9.19657483374482e-42
"Cidec",2.52281424596841e-114,3.66811587731297,0.701,0.098,4.84758757362831e-110
"Cfd",5.07719051481063e-91,3.66721617519168,0.969,0.683,9.75582157420862e-87
"Adrb3",2.66785565171394e-88,3.63454346614041,0.531,0.064,5.12628463476833e-84
"Adipoq",3.57756399232618e-105,3.62217807261829,0.696,0.108,6.87428921125475e-101
"Klhdc7a",2.74472747617614e-42,3.61899396488821,0.227,0.021,5.27399384547245e-38
"Cdo1",7.87027351278929e-99,3.60881288180594,0.582,0.07,1.51227305548246e-94
"Fabp4",2.13398524117682e-100,3.56326962043243,0.99,0.702,4.10045264092126e-96
"Rgs7",9.9524584033182e-16,3.40811553156881,0.082,0.008,1.91236488219759e-11
"Rasd1",5.100610983757e-85,3.37285948424479,0.562,0.077,9.80082400528908e-81
"Retn",1.99358255484993e-85,3.34873698448988,0.644,0.114,3.83066887914414e-81
"Cyp2e1",5.18006719247806e-52,3.33659423418749,0.34,0.042,9.9534991103466e-48
"Aoc3",9.25758735157126e-79,3.2788742780027,0.5,0.062,1.77884540960442e-74
"Mup17",1.1626082225344e-61,3.1738113019892,0.433,0.062,2.23395169959985e-57
"Tshr",2.45693408630539e-42,3.17309550190461,0.273,0.033,4.7209988468358e-38
"Adora1",8.83359427050199e-22,3.17107633426796,0.144,0.018,1.69737513907696e-17
"Slc22a3",3.91554322078343e-37,3.1590345079967,0.232,0.027,7.52371629873537e-33
"Kcnq1",0.00020775050493282,3.12800761237607,0.021,0.002,1
"Fam222a",1.46058724273074e-07,3.12800761237607,0.041,0.005,0.00280651838690711
"Trarg1",6.61317196440111e-73,3.07616868085645,0.541,0.086,1.27072099295967e-68
"Slc16a12",6.4059689166732e-29,3.05585782662024,0.191,0.024,1.23090692733876e-24
"Apol6",8.66283139346132e-39,3.03919834541822,0.278,0.039,1.66456305225359e-34
"Sorbs2",8.37646039754213e-20,3.02491411941197,0.129,0.016,1.60953686538772e-15
"Hpx",9.1239753408142e-38,2.99823973740574,0.299,0.047,1.75317186173745e-33
"Trf",5.44951633821162e-80,2.97260059668919,0.912,0.457,1.04712456438736e-75
"Gnal",3.07764239162449e-29,2.95467600949051,0.211,0.029,5.91368985550646e-25
"Hp",1.593507849081e-76,2.9423060991113,0.985,0.876,3.06192533200913e-72
"Glb1l2",2.18818835216941e-60,2.93818305349605,0.459,0.071,4.20460391869352e-56
"Slc1a3",1.42051339628099e-58,2.88699951287228,0.495,0.09,2.72951649095392e-54
"Cma1",1.00618951754537e-24,2.88473646136371,0.191,0.029,1.93339315796343e-20
"Chrdl1",6.69210525367893e-19,2.85791844900833,0.149,0.024,1.28588802449441e-14
"Rims4",6.48393813772816e-10,2.84789969318334,0.067,0.009,1.24588871316447e-05
"Lep",9.76623856306418e-19,2.83850099518109,0.129,0.017,1.87658273989278e-14
"Slc36a2",2.73832689737175e-32,2.83624148799896,0.253,0.039,5.26169513329981e-28
