"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Olfr1410",2.50385696137519e-13,4.57262609026311,0.052,0.002,4.64465466335097e-09
"Reg3d",2.43537154976371e-07,4.26450379490078,0.026,0.001,0.00451761422481169
"Lrp2",9.26813964893596e-10,4.19411446700938,0.039,0.002,1.71923990487762e-05
"S100a5",3.34977813886822e-12,4.15758859098427,0.052,0.002,6.21383844760055e-08
"Olfr164",3.34977813886822e-12,4.15758859098427,0.052,0.002,6.21383844760055e-08
"Olfr172",4.86121321181916e-11,4.04211137356433,0.048,0.002,9.01755050792455e-07
"Upk3a",3.91007285925435e-06,4.04211137356433,0.022,0.001,0.0725318515391682
"Olfr353",2.68677240191035e-15,3.91658049148047,0.078,0.006,4.9839628055437e-11
"Olfr66",1.08962235366412e-13,3.87218637212202,0.065,0.004,2.02124946604694e-09
"Mov10l1",2.02930804091311e-07,3.87218637212202,0.03,0.002,0.00376436641589381
"Gprasp2",2.02930804091311e-07,3.87218637212202,0.03,0.002,0.00376436641589381
"Tas2r117",4.49176623086798e-18,3.83566049609691,0.096,0.007,8.3322263582601e-14
"Olfr1495",6.0484473324172e-16,3.81971895222789,0.074,0.004,1.12198698016339e-11
"Olfr805",9.51011504096935e-09,3.77907696773054,0.039,0.002,0.000176412634009981
"Zfp663",6.18575482805158e-05,3.77907696773054,0.017,0.001,1
"Olfr585",6.18575482805158e-05,3.77907696773054,0.017,0.001,1
"Lce3b",4.27593347461236e-10,3.72018327867697,0.048,0.003,7.93185659540593e-06
"Nlrp14",4.27593347461236e-10,3.72018327867697,0.048,0.003,7.93185659540593e-06
"Traj40",4.27593347461236e-10,3.72018327867697,0.048,0.003,7.93185659540593e-06
"Olfr107",4.27593347461236e-10,3.72018327867697,0.048,0.003,7.93185659540593e-06
"Usp29",1.8782559808652e-11,3.67954129417963,0.057,0.004,3.48416484450494e-07
"Slc22a27",2.87483862718506e-06,3.67954129417962,0.026,0.002,0.053328256534283
"Kcnt2",9.83726056051727e-12,3.64979395078557,0.061,0.005,1.82481183397595e-07
"Dnah5",9.83726056051727e-12,3.64979395078557,0.061,0.005,1.82481183397595e-07
"Vmn1r11",1.15560957460512e-10,3.64979395078557,0.057,0.005,2.1436557608925e-06
"Stmn4",1.93148757805577e-05,3.62707387428549,0.026,0.002,0.358290945729346
"Vmn1r27",4.13579115238942e-13,3.62707387428549,0.07,0.006,7.67189258768238e-09
"Nxph2",5.49143035630213e-09,3.59465239659311,0.043,0.003,0.000101866033109405
"Olfr1257",5.49143035630213e-09,3.59465239659311,0.043,0.003,0.000101866033109405
"Olfr461",5.49143035630213e-09,3.59465239659311,0.043,0.003,0.000101866033109405
"Olfr539",5.49143035630213e-09,3.59465239659311,0.043,0.003,0.000101866033109405
"Zfp811",5.49143035630213e-09,3.59465239659311,0.043,0.003,0.000101866033109405
"Vmn1r232",1.17516797432639e-10,3.55668454639409,0.057,0.005,2.17993659237546e-06
"Vmn1r231",4.90385116217254e-12,3.54461171409352,0.065,0.006,9.09664390583006e-08
"Gcgr",5.50825238764908e-11,3.54461171409352,0.061,0.006,1.0217808179089e-06
"Olfr1289",1.7679096685536e-14,3.53515138484445,0.078,0.006,3.27947243516692e-10
"Serpina3j",1.05818463364204e-11,3.52753820073458,0.07,0.007,1.96293249540599e-07
"Gm5538",1.61656345290739e-06,3.45714887284318,0.03,0.002,0.0299872520514321
"Gabra2",1.61656345290739e-06,3.45714887284318,0.03,0.002,0.0299872520514321
"Reg3a",1.61656345290739e-06,3.45714887284318,0.03,0.002,0.0299872520514321
"Pate3",1.61656345290739e-06,3.45714887284318,0.03,0.002,0.0299872520514321
"Adam5",1.19641128824415e-10,3.45714887284318,0.057,0.005,2.21934293969291e-06
"Olfr570",2.84751940081124e-09,3.45714887284318,0.048,0.004,5.28214848850486e-05
"Col9a1",6.772506062721e-08,3.45714887284318,0.039,0.003,0.00125629987463475
"Olfr366",6.772506062721e-08,3.45714887284318,0.039,0.003,0.00125629987463475
"Abcb11",6.772506062721e-08,3.45714887284318,0.039,0.003,0.00125629987463475
"Cd40lg",6.772506062721e-08,3.45714887284318,0.039,0.003,0.00125629987463475
"Olfr229",1.91811708251446e-13,3.45714887284318,0.083,0.009,3.55810718806433e-09
"Agr3",1.02468565671827e-11,3.45714887284318,0.061,0.005,1.90079189321239e-07
"Olfr206",5.61357284096869e-11,3.45714887284318,0.061,0.006,1.04131776199969e-06
"Myh7",3.89704337046895e-05,3.45714887284318,0.022,0.002,0.72290154522199
"Obp1a",3.89704337046895e-05,3.45714887284318,0.022,0.002,0.72290154522199
"AI182371",2.56634732710663e-11,3.3746867126512,0.065,0.006,4.7605742917828e-07
"Olfr141",2.56634732710663e-11,3.3746867126512,0.065,0.006,4.7605742917828e-07
"Olfr270",2.56634732710663e-11,3.3746867126512,0.065,0.006,4.7605742917828e-07
"Olfr1448",5.72913477623608e-11,3.3640394684517,0.061,0.006,1.06275450099179e-06
"Rictor",3.29081461065969e-16,3.35023366892667,0.1,0.01,6.10446110277373e-12
"Tas2r106",1.37367746603459e-09,3.35023366892667,0.052,0.005,2.54817169949416e-05
"Olfr610",3.29476115208061e-08,3.33161799075932,0.043,0.004,0.000611178193710954
"Cntnap4",3.29476115208061e-08,3.33161799075932,0.043,0.004,0.000611178193710954
"Olfr1352",3.29476115208061e-08,3.33161799075932,0.043,0.004,0.000611178193710954
"Olfr807",3.29476115208061e-08,3.33161799075932,0.043,0.004,0.000611178193710954
