Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000051951,Xkr4,0.0025199535561868224,-1.8267564293516454,0.2419483867327787,0.002267478186924644,-1.5193885671909575,0.5329959609836332,0.19687740064702505,6.223134381662073,0.0026837864321032417
ENSMUSG00000025900,Rp1,0.0016799690374578818,-1.5897172320507957,0.4027464437921214,0.003401217280386966,-0.10435106791211446,1,0.07382902524263439,5.05320938021976,0.06658229692801027
ENSMUSG00000025902,Sox17,0.08987834350399668,0.17810932582017047,0.8228950182862971,0.08162921472928718,-0.09774833308786723,0.9965613055473747,0.02460967508087813,-0.8536812153887574,1
ENSMUSG00000025903,Lypla1,0.2780348756992794,0.6501626160144927,0.21918791580956237,0.17686329858012223,-0.6299092814356748,0.31943018061515954,0.17226772556614692,-0.2925654566219693,1
ENSMUSG00000033813,Tcea1,0.5191104325744854,0.259012362044996,0.6544831570859481,0.43422207279606934,-0.24730902175415725,0.8181158021307022,0.41836447637492824,-0.1605699108119787,0.9441461957613518
ENSMUSG00000002459,Rgs20,0.053759009198652216,1.0700805015929502,0.16338656158621256,0.018139825495397152,-1.6018507273829314,0.04086970640448198,0.17226772556614692,2.298321878056292,0.1514026523722461
ENSMUSG00000033793,Atp6v1h,0.20075629997621686,0.4415337019336434,0.45120689966046607,0.1496535603370265,-0.3948434692526548,0.6573208910653469,0.09843870032351253,-0.5790588352797519,1
ENSMUSG00000025905,Oprk1,0.0008399845187289409,-2.367324810714348,0.246944549295331,0.003401217280386966,-0.10435106791211446,1,0.09843870032351253,5.638171880940917,0.026638203006276763
ENSMUSG00000033774,Npbwr1,0.006719876149831527,1.217637690006807,0.4414658622024677,0.002267478186924644,-1.1043510679121136,0.576138550839274,0,2.17874026230362,1
ENSMUSG00000025907,Rb1cc1,0.15371716692739618,0.006490025837982749,1,0.1587234730847251,0.08878132469152389,0.9844326575561602,0.02460967508087813,-1.7016781219437078,1
ENSMUSG00000033740,St18,0.006719876149831527,0.48067209584060144,0.937783248843456,0.002267478186924644,-1.3938576851070978,0.6684550899347893,0.04921935016175626,3.7637027630247766,0.19099573861012178
ENSMUSG00000051285,Pcmtd1,0.2116760987196931,0.5712746446215085,0.3352707368224723,0.14625234305663953,-0.4913741910213614,0.5575645002971541,0.04921935016175626,-1.3542944463736748,1
